beat,start,end,duration,section,asset_class,shorts_relation,narration
LP-B023,00:04:13.320,00:04:24.020,10.700,3,RECONSTRUCTION,SHORT-02,"The mine had only one safe strategy left: move people out before flooding, ground failure or loss of access turned distance into a trap."
LP-B024,00:04:25.320,00:04:35.520,10.200,3,ARCHIVE_PHOTO,SHORT-02,Workers began moving toward the exit. Supervisors and crew members had to account for people who had been distributed through the workings. Some had to be found.
LP-B025,00:04:36.380,00:04:50.040,13.660,3,DOCUMENT,SHORT-02,Some had to travel through a mine that was changing from a workplace into an emergency scene. The official investigation later recognized several employees for leadership and search actions during the evacuation.
LP-B026,00:04:51.300,00:05:01.660,10.360,3,ARCHIVE_PHOTO,SHORT-02,That matters because successful evacuations can look inevitable after the fact. They are not. The workers did not know how large the connection would become.
LP-B027,00:05:02.520,00:05:15.720,13.200,3,DOCUMENT,SHORT-02,"They did not know how quickly the inflow would grow. They only knew that water was entering a salt mine beneath a lake. And less than an hour after the inflow was discovered, all fifty-two people were out."
LP-B028,00:05:16.560,00:05:25.420,8.860,3,RECONSTRUCTION,SHORT-02,No one underground was injured in the inundation. The spectacle of Lake Peigneur can make that fact feel secondary. It is not.
LP-B029,00:05:26.120,00:05:35.380,9.260,3,ARCHIVE_PHOTO,SHORT-02,"Before the lake became a national story, this was a mine emergency with more than fifty people below ground. And the emergency plan worked."
LP-B030,00:05:36.420,00:05:43.380,6.960,4,ARCHIVE_PHOTO,—,"Above them, the seven-man drilling crew also got clear. Then the drilling platform disappeared."
LP-B031,00:05:44.380,00:05:57.560,13.180,4,RECONSTRUCTION,—,That was the point where the failure stopped looking like a problem inside an industrial system and started looking like the landscape itself was moving. The lake began pulling toward the failure zone.
LP-B032,00:05:58.700,00:06:08.540,9.840,4,MAP_GFX,—,"Floating equipment, boats, trees and shoreline material moved with it. The opening at the surface expanded as the ground beneath it failed."
LP-B033,00:06:09.540,00:06:19.180,9.640,4,ARCHIVE_PHOTO,—,Water was not simply draining from a stable bowl. The bowl was changing. The edge of the lake was collapsing into the process.
LP-B034,00:06:20.065,00:06:26.420,6.355,4,ARCHIVE_PHOTO,—,Post-disaster geological work put the permanent land loss at roughly sixty-eight acres.
LP-B035,00:06:27.520,00:06:39.280,11.760,4,RECONSTRUCTION,—,That number is easier to understand if you imagine the shoreline as part of the machinery of the accident. Every section of ground lost around the opening changed the shape of the basin.
LP-B036,00:06:40.200,00:06:49.740,9.540,4,MAP_GFX,—,Every change in shape gave the moving water a new path. What had begun as a drilling emergency was now reshaping Jefferson Island.
LP-B037,00:06:50.960,00:07:02.100,11.140,5,GFX,SHORT-01,A normal pipe stays roughly the same size while water passes through it. A failure through salt does not have to. Fresh water contacts the salt surface.
LP-B038,00:07:03.180,00:07:15.720,12.540,5,TECH_DRAWING,SHORT-01,"Salt dissolves into the flow. A narrow path can enlarge. Loss of salt can weaken the roof, pillars or surrounding ground. That creates more space for water."
LP-B039,00:07:16.460,00:07:28.040,11.580,5,GFX,SHORT-01,More water exposes more salt. And the cycle can accelerate. Flow. Dissolution. Enlargement and failure. More flow.
LP-B040,00:07:29.080,00:07:40.520,11.440,5,GFX,SHORT-01,The crucial idea is feedback. The failure was not merely carrying water through a fixed opening. The water could help enlarge the system that was carrying the water.
LP-B041,00:07:41.280,00:07:53.620,12.340,5,TECH_DRAWING,SHORT-01,"That is why the phrase ""one small hole drained the lake"" misses the engineering story. Whatever the initiating pathway looked like, it did not have to stay that size."
LP-B042,00:07:54.420,00:07:58.340,3.920,5,GFX,SHORT-01,The accident was modifying the system while the system was failing.
LP-B043,00:07:59.500,00:08:10.620,11.120,6,GFX,—,"Once enough water was moving underground, gravity supplied the energy. The lake itself became part of the failure mechanism. Water rushed toward the opening."
LP-B044,00:08:11.780,00:08:23.240,11.460,6,RECONSTRUCTION,—,Ground continued to collapse. The receiving space was not a concrete reservoir with fixed walls. It was a mine carved through a soluble salt structure.
LP-B045,00:08:23.840,00:08:33.680,9.840,6,MAP_GFX,—,"The famous whirlpool was only the surface expression. Below it, water was entering an industrial void built across multiple levels."
LP-B046,00:08:34.460,00:08:41.420,6.960,6,GFX,—,"Above it, the lake was losing both water and shoreline. Those two systems were now coupled."
LP-B047,00:08:42.100,00:08:48.380,6.280,6,RECONSTRUCTION,—,"The faster the lake fed the failure, the more the failure could change the route available to the lake."
LP-B048,00:08:49.000,00:09:01.940,12.940,6,MAP_GFX,—,"The relationship between water, mine, rock and air was being rewritten in real time. And as the lake level dropped, the consequences reached beyond Jefferson Island."
LP-B049,00:09:02.480,00:09:05.800,3.320,6,GFX,—,They changed the direction of another body of water.
LP-B050,00:09:06.600,00:09:17.480,10.880,7,MAP_GFX,SHORT-03,"Lake Peigneur connected southward through the Delcambre Canal toward Vermilion Bay. Under normal conditions, that connection carried water away from the lake."
LP-B051,00:09:18.200,00:09:28.860,10.660,7,ARCHIVE_PHOTO,SHORT-03,Now the lake had fallen so far that the hydraulic relationship reversed. The lake became the lower destination. The canal began feeding it.
LP-B052,00:09:28.860,00:09:42.880,14.020,7,RECONSTRUCTION,SHORT-03,Water from the Gulf side moved inland toward the emptied basin. Historical Louisiana accounts describe what happened next as a temporary waterfall roughly one hundred and fifty feet high.
LP-B053,00:09:43.780,00:09:53.360,9.580,7,MAP_GFX,SHORT-03,"For a place as flat as coastal Louisiana, the image is almost absurd. A canal flowing the wrong way. Salt water moving inland."
LP-B054,00:09:54.080,00:10:06.680,12.600,7,MAP_GFX,SHORT-03,A temporary waterfall appearing where there had been no cliff. But the water was still obeying gravity. The landscape had changed underneath it. The canal had not moved on the map.
LP-B055,00:10:07.480,00:10:11.020,3.540,7,ARCHIVE_PHOTO,SHORT-03,The lake had changed its elevation enough to reverse the system.
LP-B056,00:10:11.820,00:10:20.340,8.520,8,ARCHIVE_PHOTO,—,"When the major physical sequence ended, the mine was inundated. The drilling platform was gone. The shoreline had been cut back."
LP-B057,00:10:21.040,00:10:31.060,10.020,8,DOCUMENT,—,The lake had been transformed from the shallow basin that existed before the accident into a much deeper one. The industrial system beneath it was finished.
LP-B058,00:10:31.780,00:10:42.640,10.860,8,PHOTO_CURRENT,—,But the most important number is not the final depth. It is zero. No human deaths. All fifty-two people recorded underground escaped.
LP-B059,00:10:43.400,00:10:51.220,7.820,8,ARCHIVE_PHOTO,—,The seven drilling workers above them got clear. That does not make the event small. It makes the evacuation extraordinary.
LP-B060,00:10:51.940,00:11:01.500,9.560,8,DOCUMENT,—,"An accident violent enough to erase part of a shoreline, destroy a working mine and reverse a canal ended without a human fatality."
LP-B061,00:11:02.360,00:11:13.600,11.240,9,DOCUMENT,SHORT-04,"By now, the natural question seems obvious. Who put the drill in the wrong place? That is where the popular version of Lake Peigneur often becomes cleaner than the evidence."
LP-B062,00:11:14.440,00:11:26.040,11.600,9,TECH_DRAWING,SHORT-04,A widely repeated story says a coordinate or surveying error sent the well into the mine. The official federal investigation did not close the case that neatly.
LP-B063,00:11:26.900,00:11:36.280,9.380,9,DOCUMENT,SHORT-04,"After the inundation, the relevant mine workings could not simply be entered and inspected. The accident had destroyed access to the best evidence."
LP-B064,00:11:37.180,00:11:50.220,13.040,9,MAP_GFX,SHORT-04,"Critical physical information was underwater, displaced or gone. Federal mine-safety investigators reconstructed an estimated drill-hole location near the mine's thirteen-hundred-foot level."
LP-B065,00:11:50.780,00:12:00.900,10.120,9,DOCUMENT,SHORT-04,Diamond Crystal argued that the drilling operation had penetrated the roof of an excavated mine room. Other experts disputed that reconstruction.
LP-B066,00:12:01.960,00:12:13.360,11.400,9,TECH_DRAWING,SHORT-04,"More than two years later, during the settlement process, experts were still disagreeing over whether the well had entered the mined room in the way Diamond Crystal alleged. That distinction matters."
LP-B067,00:12:14.220,00:12:25.900,11.680,9,DOCUMENT,SHORT-04,Investigators could document the drilling operation. They could document the mine. They could document the inundation. They could estimate where the well may have intersected the underground system.
LP-B068,00:12:26.800,00:12:38.720,11.920,9,MAP_GFX,SHORT-04,But the disaster had made the decisive physical scene inaccessible. So two statements can both be true. The drilling operation and mine became hydraulically connected.
LP-B069,00:12:39.420,00:12:49.880,10.460,9,DOCUMENT,SHORT-04,And the precise initiating technical error could not later be established with certainty. That is not a weakness in the story. It is the reason evidence matters.
LP-B070,00:12:51.080,00:12:58.955,7.875,10,DOCUMENT,—,The uncertainty did not prevent lawsuits. Diamond Crystal originally sued Texaco for two hundred and sixty million dollars.
LP-B071,00:12:59.200,00:13:06.880,7.680,10,ARCHIVE_PHOTO,—,"In 1983, Diamond Crystal accepted a thirty-two-million-dollar settlement from Texaco and Wilson Brothers."
LP-B072,00:13:07.980,00:13:20.360,12.380,10,DOCUMENT,—,Live Oak Gardens interests received twelve-point-eight million dollars in a separate settlement involving the companies. Those numbers resolved claims. They did not restore the underground system.
LP-B073,00:13:21.040,00:13:29.680,8.640,10,DOCUMENT,—,They did not reopen the mine. And they did not turn the settlement into a scientific finding about one exact cause.
LP-B074,00:13:31.020,00:13:43.440,12.420,10,ARCHIVE_PHOTO,—,Louisiana appellate records later described approximately two hundred and fifty Diamond Crystal employees being laid off after the closure. That is the quieter scale of the disaster.
LP-B075,00:13:44.200,00:13:51.140,6.940,10,DOCUMENT,—,"The famous sequence — the whirlpool, the collapsing bank, the reversed canal — lasted hours."
LP-B076,00:13:52.100,00:13:58.740,6.640,10,DOCUMENT,—,"For the people whose livelihoods depended on the mine, the consequences continued after the water stopped moving."
LP-B077,00:13:59.640,00:14:12.060,12.420,11,PHOTO_CURRENT,SHORT-05,The disaster ended this salt mine. It did not make the salt dome worthless. Salt formations are also useful for storing pressurized natural gas inside engineered caverns.
LP-B078,00:14:12.620,00:14:24.520,11.900,11,GFX,SHORT-05,"Today, Jefferson Island Storage & Hub operates as a salt-cavern natural-gas storage facility. One Oak says the facility connects with eight major pipelines."
LP-B079,00:14:25.540,00:14:36.500,10.960,11,MAP_GFX,SHORT-05,That does not mean today's storage system is the old mine. It means the same geological feature that created one industrial economy continued to support another.
LP-B080,00:14:37.560,00:14:43.180,5.620,11,PHOTO_CURRENT,SHORT-05,The industrial use of Jefferson Island's underground did not disappear. It changed.
LP-B081,00:14:44.440,00:14:55.760,11.320,12,PHOTO_CURRENT,—,"Before November 20, 1980, Lake Peigneur looked like a surface landscape. Water. Trees. Gardens. A drilling platform."
LP-B082,00:14:56.720,00:15:09.820,13.100,12,MAP_GFX,—,The dangerous map was the one underneath it. Mine levels cut through salt. A drilling path descending from above. Two industries occupying the same three-dimensional space.
LP-B083,00:15:10.740,00:15:21.840,11.100,12,GFX,—,"When those worlds became connected, gravity and salt amplified the failure. The mine flooded. The shoreline collapsed. The canal reversed."
LP-B084,00:15:22.860,00:15:33.940,11.080,12,PHOTO_CURRENT,—,And every person underground still made it out. Investigators could study what remained. They could estimate locations. They could test competing explanations.
LP-B085,00:15:34.880,00:15:44.860,9.980,12,PHOTO_CURRENT,—,But part of the evidence had vanished inside the event itself. That is why Lake Peigneur survives as more than a bizarre engineering story.
LP-B086,00:15:45.840,00:15:56.380,10.540,12,MAP_GFX,—,The visible landscape was only one layer of the system. The decisive infrastructure was hidden. Lake Peigneur is remembered because a lake disappeared.
LP-B087,00:15:57.420,00:16:08.080,10.660,12,GFX,—,The deeper lesson is why. Infrastructure does not stop at the surface. And the systems we cannot see can be the systems that matter most.
