prompt_id,beat_id,start,end,asset_class,prompt_grammar,production_route,required_reference_packages,reference_gate,overlay_plan,v3_status,cost_if_generated_credits,v3_prompt
SAT-GEN011,SAT-B019,00:03:10.260,00:03:23.280,AI_RECONSTRUCTION,NETWORK_GFX_BASE,LOCKED_GENERATED_ASSET,R05,LOCKED_ASSET_NO_NEW_JOB,88 BPA customers + 1 private utility,LOCKED_PASS_REUSE,0.0,DO NOT GENERATE — use the locked accepted asset recorded in locked_asset.
SAT-GEN012,SAT-B021,00:03:30.930,00:03:39.580,AI_RECONSTRUCTION,CONTRACT_MECHANISM,LOCKED_GENERATED_ASSET,R03,LOCKED_ASSET_NO_NEW_JOB,PAY WHETHER COMPLETED OR OPERATING,LOCKED_PASS_REUSE,0.0,DO NOT GENERATE — use the locked accepted asset recorded in locked_asset.
SAT-GEN013,SAT-B023,00:03:53.240,00:04:01.980,AI_RECONSTRUCTION,RATEPAYER_SCALE,CONTROLLED_TEXT_GENERATION,R03,TEXT_ONLY_ALLOWED_AFTER_SMALL_BATCH_APPROVAL,RATE INCREASES / COURT,READY_FOR_TARGETED_VALIDATION_NOT_AUTHORIZED,0.5,"SUBJECT AND COMPOSITION: Period public-utility counter with household bills and court-file boxes in foreground, worried customers waiting, unfinished project photograph small in the background; all paper text blank. EVIDENCE BOUNDARY: This is an explicitly interpretive reconstruction. Avoid identifiable real people and keep every document surface blank for editorial replacement. Create one restrained 16:9 documentary frame with a clear primary subject and no competing secondary story. Use realistic materials, neutral natural light and a calm lower 15 percent for captions. Never render words, dates, numbers, logos, maps, arrows, diagrams, captions or document text. No nuclear glow, operating steam, disaster imagery, active reactor, completed Satsop plant, faux archival damage or cinematic spectacle."
SAT-GEN014,SAT-B024,00:04:01.980,00:04:09.640,AI_RECONSTRUCTION,LIABILITY_METAPHOR,CONTROLLED_TEXT_GENERATION,R03,TEXT_ONLY_ALLOWED_AFTER_SMALL_BATCH_APPROVAL,WHO CARRIES THE BILL?,READY_FOR_TARGETED_VALIDATION_NOT_AUTHORIZED,0.5,"SUBJECT AND COMPOSITION: A stopped industrial gate at dusk with one heavy contract case being passed from project officials toward local utility representatives; no active construction. EVIDENCE BOUNDARY: This is an explicitly interpretive reconstruction. Avoid identifiable real people and keep every document surface blank for editorial replacement. Create one restrained 16:9 documentary frame with a clear primary subject and no competing secondary story. Use realistic materials, neutral natural light and a calm lower 15 percent for captions. Never render words, dates, numbers, logos, maps, arrows, diagrams, captions or document text. No nuclear glow, operating steam, disaster imagery, active reactor, completed Satsop plant, faux archival damage or cinematic spectacle."
SAT-GEN015,SAT-B025,00:04:09.640,00:04:20.880,AI_RECONSTRUCTION,FINANCIAL_COLLAPSE,CONTROLLED_TEXT_GENERATION,R03,TEXT_ONLY_ALLOWED_AFTER_SMALL_BATCH_APPROVAL,JUL 22 1983 / DEFAULT,READY_FOR_TARGETED_VALIDATION_NOT_AUTHORIZED,0.5,"SUBJECT AND COMPOSITION: Empty bond-market trading desk and stacked blank bond certificates under a single extinguished task lamp, with the halted Project Five foundation visible only through a window. EVIDENCE BOUNDARY: This is an explicitly interpretive reconstruction. Avoid identifiable real people and keep every document surface blank for editorial replacement. Create one restrained 16:9 documentary frame with a clear primary subject and no competing secondary story. Use realistic materials, neutral natural light and a calm lower 15 percent for captions. Never render words, dates, numbers, logos, maps, arrows, diagrams, captions or document text. No nuclear glow, operating steam, disaster imagery, active reactor, completed Satsop plant, faux archival damage or cinematic spectacle."
SAT-GEN016,SAT-B026,00:04:20.880,00:04:31.760,AI_RECONSTRUCTION_MAP,MAP_BASE,EDITORIAL_GFX_BASE_ONLY,R02,EDITORIAL_BUILD_NO_IMAGE_JOB,P5 PARTICIPANT FINANCE / P3 BPA PATH,READY_FOR_TARGETED_VALIDATION_NOT_AUTHORIZED,0.0,"EDITORIAL BUILD BRIEF FOR SAT-B026: Build a flat, unlabeled charcoal-and-warm-paper map canvas with an empty plot area. Add all coastlines, rivers, roads, boundaries, site footprints and labels later as authenticated vectors. Reserve the factual overlay lane for: P5 PARTICIPANT FINANCE / P3 BPA PATH. EVIDENCE BOUNDARY: This is an editor-built non-factual design plate. It must contain no geographic, architectural, engineering or numeric claim; all evidence comes from deterministic editorial vectors."
SAT-GEN017,SAT-B027,00:04:31.760,00:04:38.140,AI_RECONSTRUCTION,FINANCE_NETWORK,CONTROLLED_TEXT_GENERATION,R02+R03,TEXT_ONLY_ALLOWED_AFTER_SMALL_BATCH_APPROVAL,P4+P5 participant system,READY_FOR_TARGETED_VALIDATION_NOT_AUTHORIZED,0.5,"SUBJECT AND COMPOSITION: Project Five foundation at the end of a branching chain of municipal utility offices, each connected by restrained empty line paths reserved for editorial graphics. EVIDENCE BOUNDARY: This is an explicitly interpretive reconstruction. Avoid identifiable real people and keep every document surface blank for editorial replacement. Create one restrained 16:9 documentary frame with a clear primary subject and no competing secondary story. Use realistic materials, neutral natural light and a calm lower 15 percent for captions. Never render words, dates, numbers, logos, maps, arrows, diagrams, captions or document text. No nuclear glow, operating steam, disaster imagery, active reactor, completed Satsop plant, faux archival damage or cinematic spectacle."
SAT-GEN018,SAT-B029,00:04:49.420,00:04:56.520,AI_RECONSTRUCTION,INSTITUTIONAL,LOCKED_GENERATED_ASSET,R03+R05,LOCKED_ASSET_NO_NEW_JOB,capability shares → BPA,LOCKED_PASS_REUSE,0.0,DO NOT GENERATE — use the locked accepted asset recorded in locked_asset.
SAT-GEN019,SAT-B031,00:05:07.380,00:05:20.160,AI_RECONSTRUCTION,OWNERSHIP_SPLIT,CONTROLLED_TEXT_GENERATION,R03,TEXT_ONLY_ALLOWED_AFTER_SMALL_BATCH_APPROVAL,70% / 30% / 4 IOUs,READY_FOR_TARGETED_VALIDATION_NOT_AUTHORIZED,0.5,"SUBJECT AND COMPOSITION: One clean tabletop divided 70/30 by physical folder stacks, public-utility side larger and four investor-owned utility chairs on the smaller side; blank overlay space above. EVIDENCE BOUNDARY: This is an explicitly interpretive reconstruction. Avoid identifiable real people and keep every document surface blank for editorial replacement. Create one restrained 16:9 documentary frame with a clear primary subject and no competing secondary story. Use realistic materials, neutral natural light and a calm lower 15 percent for captions. Never render words, dates, numbers, logos, maps, arrows, diagrams, captions or document text. No nuclear glow, operating steam, disaster imagery, active reactor, completed Satsop plant, faux archival damage or cinematic spectacle."
SAT-GEN020,SAT-B032,00:05:20.160,00:05:29.680,AI_RECONSTRUCTION_GFX,TECHNICAL_GFX_BASE,EDITORIAL_GFX_BASE_ONLY,R02+R04,EDITORIAL_BUILD_NO_IMAGE_JOB,"PWR / 1,240 MW EACH",READY_FOR_TARGETED_VALIDATION_NOT_AUTHORIZED,0.0,"EDITORIAL BUILD BRIEF FOR SAT-B032: Build a neutral technical-comparison canvas with empty component wells. Add all equipment silhouettes, flow paths, arrows, values and labels later from verified engineering sources. Reserve the factual overlay lane for: PWR / 1,240 MW EACH. EVIDENCE BOUNDARY: This is an editor-built non-factual design plate. It must contain no geographic, architectural, engineering or numeric claim; all evidence comes from deterministic editorial vectors."
SAT-GEN021,SAT-B035,00:05:56.641,00:06:02.971,AI_RECONSTRUCTION,COMPONENT_SCALE,REFERENCE_CONDITIONED_GENERATION,R01+R02+R04,BLOCKED_UNTIL_REAL_MEDIA_IDS_ATTACHED,tower = heat rejection only,READY_FOR_TARGETED_VALIDATION_NOT_AUTHORIZED,0.5,"SUBJECT AND COMPOSITION: Low-angle exterior where the cooling tower occupies one edge while reactor, turbine and auxiliary building shells recede separately across the site, making the tower only one component. EVIDENCE BOUNDARY: Match only the supplied reference media for identifiable geometry. If those media are absent, do not submit this job. Do not infer unseen buildings, roads, water, machinery or site relationships. Create one restrained 16:9 documentary frame with a clear primary subject and no competing secondary story. Use realistic materials, neutral natural light and a calm lower 15 percent for captions. Never render words, dates, numbers, logos, maps, arrows, diagrams, captions or document text. No nuclear glow, operating steam, disaster imagery, active reactor, completed Satsop plant, faux archival damage or cinematic spectacle."
SAT-GEN022,SAT-B036,00:06:02.971,00:06:15.631,AI_RECONSTRUCTION_GFX,TECHNICAL_GFX_BASE,EDITORIAL_GFX_BASE_ONLY,R04,EDITORIAL_BUILD_NO_IMAGE_JOB,HEAT → STEAM → TURBINE → COOLING,READY_FOR_TARGETED_VALIDATION_NOT_AUTHORIZED,0.0,"EDITORIAL BUILD BRIEF FOR SAT-B036: Build a neutral technical-comparison canvas with empty component wells. Add all equipment silhouettes, flow paths, arrows, values and labels later from verified engineering sources. Reserve the factual overlay lane for: HEAT → STEAM → TURBINE → COOLING. EVIDENCE BOUNDARY: This is an editor-built non-factual design plate. It must contain no geographic, architectural, engineering or numeric claim; all evidence comes from deterministic editorial vectors."
SAT-GEN023,SAT-B037,00:06:15.631,00:06:24.961,AI_RECONSTRUCTION_MAP,MAP_BASE,EDITORIAL_GFX_BASE_ONLY,R02+R04,EDITORIAL_BUILD_NO_IMAGE_JOB,CHAIN NEVER COMPLETED / P5 FIRST,READY_FOR_TARGETED_VALIDATION_NOT_AUTHORIZED,0.0,"EDITORIAL BUILD BRIEF FOR SAT-B037: Build a flat, unlabeled charcoal-and-warm-paper map canvas with an empty plot area. Add all coastlines, rivers, roads, boundaries, site footprints and labels later as authenticated vectors. Reserve the factual overlay lane for: CHAIN NEVER COMPLETED / P5 FIRST. EVIDENCE BOUNDARY: This is an editor-built non-factual design plate. It must contain no geographic, architectural, engineering or numeric claim; all evidence comes from deterministic editorial vectors."
SAT-GEN024,SAT-B038,00:06:24.961,00:06:36.411,AI_RECONSTRUCTION,PRESERVATION,REFERENCE_CONDITIONED_GENERATION,R01+R03,BLOCKED_UNTIL_REAL_MEDIA_IDS_ATTACHED,SUSPENDED ≠ TERMINATED,READY_FOR_TARGETED_VALIDATION_NOT_AUTHORIZED,0.5,"SUBJECT AND COMPOSITION: Project Three immediately after suspension: locked work zone, idle crane booms lowered, weather covers being installed and a two-person inspection team; no pouring concrete or active build. EVIDENCE BOUNDARY: Match only the supplied reference media for identifiable geometry. If those media are absent, do not submit this job. Do not infer unseen buildings, roads, water, machinery or site relationships. Create one restrained 16:9 documentary frame with a clear primary subject and no competing secondary story. Use realistic materials, neutral natural light and a calm lower 15 percent for captions. Never render words, dates, numbers, logos, maps, arrows, diagrams, captions or document text. No nuclear glow, operating steam, disaster imagery, active reactor, completed Satsop plant, faux archival damage or cinematic spectacle."
SAT-GEN025,SAT-B039,00:06:36.411,00:06:48.221,AI_RECONSTRUCTION,PRESERVATION,LOCKED_GENERATED_ASSET,R01+R03+R04,LOCKED_ASSET_NO_NEW_JOB,preserve optionality,LOCKED_PASS_REUSE,0.0,DO NOT GENERATE — use the locked accepted asset recorded in locked_asset.
SAT-GEN026,SAT-B040,00:06:48.221,00:06:56.801,AI_RECONSTRUCTION,OPTION_COST,CONTROLLED_TEXT_GENERATION,R01+R03,TEXT_ONLY_ALLOWED_AFTER_SMALL_BATCH_APPROVAL,OPTION ALIVE / COST CONTINUES,READY_FOR_TARGETED_VALIDATION_NOT_AUTHORIZED,0.5,"SUBJECT AND COMPOSITION: A preserved machine under a clean protective cover in a vast unfinished hall while a maintenance crew works under one pool of light; show time being purchased, not construction progress. EVIDENCE BOUNDARY: This is an explicitly interpretive reconstruction. Avoid identifiable real people and keep every document surface blank for editorial replacement. Create one restrained 16:9 documentary frame with a clear primary subject and no competing secondary story. Use realistic materials, neutral natural light and a calm lower 15 percent for captions. Never render words, dates, numbers, logos, maps, arrows, diagrams, captions or document text. No nuclear glow, operating steam, disaster imagery, active reactor, completed Satsop plant, faux archival damage or cinematic spectacle."
SAT-GEN027,SAT-B042,00:07:07.941,00:07:16.081,AI_RECONSTRUCTION_MAP,REGIONAL_GFX_BASE,EDITORIAL_GFX_BASE_ONLY,R01+R05,EDITORIAL_BUILD_NO_IMAGE_JOB,demand changed / zero output,READY_FOR_TARGETED_VALIDATION_NOT_AUTHORIZED,0.0,"EDITORIAL BUILD BRIEF FOR SAT-B042: Build a flat, unlabeled regional canvas with empty geographic and network layers. Add all real geography, transmission paths, facilities and labels later as authenticated vectors. Reserve the factual overlay lane for: demand changed / zero output. EVIDENCE BOUNDARY: This is an editor-built non-factual design plate. It must contain no geographic, architectural, engineering or numeric claim; all evidence comes from deterministic editorial vectors."
SAT-GEN028,SAT-B043,00:07:16.081,00:07:30.786,AI_RECONSTRUCTION,PRESERVATION,REFERENCE_CONDITIONED_GENERATION,R01+R03+R04,BLOCKED_UNTIL_REAL_MEDIA_IDS_ATTACHED,inspect / protect / evaluate,READY_FOR_TARGETED_VALIDATION_NOT_AUTHORIZED,0.5,"SUBJECT AND COMPOSITION: Close operational inspection of corrosion protection, sealed penetrations and stored equipment records inside an unfinished plant; three workers only, no cranes or fresh concrete. EVIDENCE BOUNDARY: Match only the supplied reference media for identifiable geometry. If those media are absent, do not submit this job. Do not infer unseen buildings, roads, water, machinery or site relationships. Create one restrained 16:9 documentary frame with a clear primary subject and no competing secondary story. Use realistic materials, neutral natural light and a calm lower 15 percent for captions. Never render words, dates, numbers, logos, maps, arrows, diagrams, captions or document text. No nuclear glow, operating steam, disaster imagery, active reactor, completed Satsop plant, faux archival damage or cinematic spectacle."
SAT-GEN029,SAT-B044,00:07:30.786,00:07:40.261,AI_RECONSTRUCTION,OPTION_COST,CONTROLLED_TEXT_GENERATION,R01+R03,TEXT_ONLY_ALLOWED_AFTER_SMALL_BATCH_APPROVAL,spend to keep option alive,READY_FOR_TARGETED_VALIDATION_NOT_AUTHORIZED,0.5,"SUBJECT AND COMPOSITION: Symmetrical corridor of preserved equipment with recurring inspection stations disappearing into depth, each station consuming labor while nothing produces power. EVIDENCE BOUNDARY: This is an explicitly interpretive reconstruction. Avoid identifiable real people and keep every document surface blank for editorial replacement. Create one restrained 16:9 documentary frame with a clear primary subject and no competing secondary story. Use realistic materials, neutral natural light and a calm lower 15 percent for captions. Never render words, dates, numbers, logos, maps, arrows, diagrams, captions or document text. No nuclear glow, operating steam, disaster imagery, active reactor, completed Satsop plant, faux archival damage or cinematic spectacle."
SAT-GEN030,SAT-B046,00:07:54.011,00:08:04.071,AI_RECONSTRUCTION,CAPITAL_GFX_BASE,EDITORIAL_GFX_BASE_ONLY,R01+R02,EDITORIAL_BUILD_NO_IMAGE_JOB,$2.6B / 1993 dollars,READY_FOR_TARGETED_VALIDATION_NOT_AUTHORIZED,0.0,"EDITORIAL BUILD BRIEF FOR SAT-B046: Build a restrained capital-flow canvas with empty source, project and obligation zones. Add all money flows, arrows, values and labels later as verified editorial graphics. Reserve the factual overlay lane for: $2.6B / 1993 dollars. EVIDENCE BOUNDARY: This is an editor-built non-factual design plate. It must contain no geographic, architectural, engineering or numeric claim; all evidence comes from deterministic editorial vectors."
SAT-GEN031,SAT-B047,00:08:04.071,00:08:14.951,AI_RECONSTRUCTION_GFX,SITE_IDENTITY,LOCKED_GENERATED_ASSET,R01+R02,LOCKED_ASSET_NO_NEW_JOB,~500 FT / major buildings existed,LOCKED_PASS_REUSE,0.0,DO NOT GENERATE — use the locked accepted asset recorded in locked_asset.
SAT-GEN032,SAT-B048,00:08:14.951,00:08:26.231,AI_RECONSTRUCTION,FUTURE_COST,LOCKED_GENERATED_ASSET,R01+R04,LOCKED_ASSET_NO_NEW_JOB,VISIBLE CONCRETE ≠ COST TO FINISH,LOCKED_PASS_REUSE,0.0,DO NOT GENERATE — use the locked accepted asset recorded in locked_asset.
SAT-GEN033,SAT-B049,00:08:26.231,00:08:42.631,AI_RECONSTRUCTION,RISK_HORIZON,CONTROLLED_TEXT_GENERATION,R01,TEXT_ONLY_ALLOWED_AFTER_SMALL_BATCH_APPROVAL,TIME + CAPITAL AT RISK,READY_FOR_TARGETED_VALIDATION_NOT_AUTHORIZED,0.5,"SUBJECT AND COMPOSITION: Long empty access road from preserved Project Three toward a distant uncertain horizon, with maintenance barriers and aging equipment in foreground; no active build. EVIDENCE BOUNDARY: This is an explicitly interpretive reconstruction. Avoid identifiable real people and keep every document surface blank for editorial replacement. Create one restrained 16:9 documentary frame with a clear primary subject and no competing secondary story. Use realistic materials, neutral natural light and a calm lower 15 percent for captions. Never render words, dates, numbers, logos, maps, arrows, diagrams, captions or document text. No nuclear glow, operating steam, disaster imagery, active reactor, completed Satsop plant, faux archival damage or cinematic spectacle."
SAT-GEN034,SAT-B052,00:09:01.271,00:09:11.891,AI_RECONSTRUCTION,RATEPAYER_SCALE,CONTROLLED_TEXT_GENERATION,R05,TEXT_ONLY_ALLOWED_AFTER_SMALL_BATCH_APPROVAL,agency decision → monthly rate,READY_FOR_TARGETED_VALIDATION_NOT_AUTHORIZED,0.5,"SUBJECT AND COMPOSITION: A small Northwest business after hours with utility invoice and operating ledger on a counter, Satsop image only as a secondary newspaper photograph; no readable invented amounts. EVIDENCE BOUNDARY: This is an explicitly interpretive reconstruction. Avoid identifiable real people and keep every document surface blank for editorial replacement. Create one restrained 16:9 documentary frame with a clear primary subject and no competing secondary story. Use realistic materials, neutral natural light and a calm lower 15 percent for captions. Never render words, dates, numbers, logos, maps, arrows, diagrams, captions or document text. No nuclear glow, operating steam, disaster imagery, active reactor, completed Satsop plant, faux archival damage or cinematic spectacle."
SAT-GEN035,SAT-B054,00:09:28.091,00:09:40.211,AI_RECONSTRUCTION,SUNK_COST,CONTROLLED_TEXT_GENERATION,R03,TEXT_ONLY_ALLOWED_AFTER_SMALL_BATCH_APPROVAL,PAST SPEND / NEXT DECISION,READY_FOR_TARGETED_VALIDATION_NOT_AUTHORIZED,0.5,"SUBJECT AND COMPOSITION: A closed archival vault containing past-project folders behind glass while an open decision table in foreground remains empty, separating money already spent from the next commitment. EVIDENCE BOUNDARY: This is an explicitly interpretive reconstruction. Avoid identifiable real people and keep every document surface blank for editorial replacement. Create one restrained 16:9 documentary frame with a clear primary subject and no competing secondary story. Use realistic materials, neutral natural light and a calm lower 15 percent for captions. Never render words, dates, numbers, logos, maps, arrows, diagrams, captions or document text. No nuclear glow, operating steam, disaster imagery, active reactor, completed Satsop plant, faux archival damage or cinematic spectacle."
SAT-GEN036,SAT-B058,00:10:04.771,00:10:20.911,AI_RECONSTRUCTION_GFX,COMPARISON_GFX_BASE,LOCKED_GENERATED_ASSET,R01+R04+R06,LOCKED_ASSET_NO_NEW_JOB,"1,240 MW / 240 MW",LOCKED_PASS_REUSE,0.0,DO NOT GENERATE — use the locked accepted asset recorded in locked_asset.
