beat,start,end,duration_seconds,final_class,asset_id,asset_locator,provenance,rights_or_source,subtitle_safe,shot_lock,status
BM-B011,00:01:59.540,00:02:12.540,13.000,GFX,FX006,GFX_FINAL::FX006,HIA EXPLANATORY GFX,Project-created final GFX,PASS — 55/55 GFX lower 12–15% safe-zone lock,"97-ft average-depth comparison: human/building silhouette on left, layered overburden section on right",LOCKED
BM-B012,00:02:12.540,00:02:25.500,12.960,GFX,FX007,GFX_FINAL::FX007,HIA EXPLANATORY GFX,Project-created final GFX,PASS — 55/55 GFX lower 12–15% safe-zone lock,"182-ft cited case: same geology system but new steep vertical composition, coal seam compressed at bottom to emphasize depth",LOCKED
BM-B013,00:02:26.040,00:02:41.860,15.820,GFX,FX008,GFX_FINAL::FX008,HIA EXPLANATORY GFX,Project-created final GFX,PASS — 55/55 GFX lower 12–15% safe-zone lock,"615-MW generating unit → annual coal demand → mine demand flow, plant silhouette left and mine section right",LOCKED
BM-B014,00:02:42.680,00:02:55.080,12.400,GFX,FX009,GFX_FINAL::FX009,HIA EXPLANATORY GFX,Project-created final GFX,PASS — 55/55 GFX lower 12–15% safe-zone lock,"2.6M → 4.4M tons/year horizontal bar growth, one clean number change and no archive background",LOCKED
BM-B015,00:02:55.760,00:03:09.600,13.840,GFX,FX010,GFX_FINAL::FX010,HIA EXPLANATORY GFX,Project-created final GFX,PASS — 55/55 GFX lower 12–15% safe-zone lock,Causal conveyor composition: electricity demand → fuel → exposed coal → overburden moved faster,LOCKED
BM-B016,00:03:10.780,00:03:22.180,11.400,GFX,FX011,GFX_FINAL::FX011,HIA EXPLANATORY GFX,Project-created final GFX,PASS — 55/55 GFX lower 12–15% safe-zone lock,$41M expansion program as modular industrial-system diagram: mining / handling / electric railroad / power-plant link / dragline,LOCKED
BM-B017,00:03:22.180,00:03:33.520,11.340,REAL_CONTEXT,C19,SOURCE_ARCHIVE_V2_CLEAN::C19,HISTORICAL CONTEXT — NOT BIG MUSKIE,PUBLIC DOMAIN — U.S. EPA / NARA; Ohio regional context only,PASS — editorial reframe keeps essential subject above caption band,Ohio Power mining trucks with working farm in background; use as surrounding industrial-system/logistics context,LOCKED
BM-B018,00:03:34.120,00:03:52.660,18.540,REAL,R03,SOURCE_ARCHIVE_V2_CLEAN::R03,HISTORICAL SOURCE,PUBLIC DOMAIN — U.S. DOE,PASS — editorial reframe keeps essential subject above caption band,DOE c.1969 Big Muskie image with small lower-corner citation to Kraschnewski paper; machine remains dominant,LOCKED
BM-B019,00:03:53.360,00:04:04.040,10.680,REAL_CONTEXT,C07,SOURCE_ARCHIVE_V2_CLEAN::C07,HISTORICAL CONTEXT — NOT BIG MUSKIE,PUBLIC DOMAIN — U.S. EPA / NARA; Ohio regional context only,PASS — editorial reframe keeps essential subject above caption band,Test-drilling scene as application-study context; drill location markers become four inputs: coal need / depth / terrain / material flow,LOCKED
BM-B020,00:04:04.760,00:04:19.460,14.700,GFX,FX012,GFX_FINAL::FX012,HIA EXPLANATORY GFX,Project-created final GFX,PASS — 55/55 GFX lower 12–15% safe-zone lock,Four-variable engineering decision matrix converging into one dragline footprint; no machine photo,LOCKED
BM-B021,00:04:20.300,00:04:35.880,15.580,GFX,FX013,GFX_FINAL::FX013,HIA EXPLANATORY GFX,Project-created final GFX,PASS — 55/55 GFX lower 12–15% safe-zone lock,"Unique dragline operating geometry diagram: cut, boom reach, bucket path, spoil bank; animated path only",LOCKED
BM-B022,00:04:37.000,00:04:46.100,9.100,GFX,FX014,GFX_FINAL::FX014,HIA EXPLANATORY GFX,Project-created final GFX,PASS — 55/55 GFX lower 12–15% safe-zone lock,Reach-versus-depth geometry: boom arc intersects >100-ft overburden bench; no cycle arrows reused from FX013,LOCKED
BM-B023,00:04:47.040,00:05:01.100,14.060,REAL_CONTEXT,C12,SOURCE_ARCHIVE_V2_CLEAN::C12,HISTORICAL CONTEXT — NOT BIG MUSKIE,PUBLIC DOMAIN — U.S. EPA / NARA; Ohio regional context only,PASS — editorial reframe keeps essential subject above caption band,"Ohio Power recontoured/reseeded land; overlay shows spoil-placement and land-reshaping direction, not generic reclamation montage",LOCKED
BM-B024,00:05:01.960,00:05:15.360,13.400,REAL,R02,SOURCE_ARCHIVE_V2_CLEAN::R02,HISTORICAL SOURCE,PUBLIC DOMAIN — U.S. EPA / NARA,PASS — editorial reframe keeps essential subject above caption band,NARA 555644 full-machine frame with subtle system-alternative labels around margins; first early full side-scale use,LOCKED
BM-B025,00:05:16.200,00:05:28.880,12.680,RECONSTRUCTION,GEN01,RECON_FINAL::GEN01,AI RECONSTRUCTION,Project-created AI reconstruction,PASS — 22/22 production-accepted; caption-safe framing required,AI reconstruction: rail siding at mine with enormous disassembled Bucyrus lattice/house components arriving on period flatcars; machine not yet assembled,LOCKED
BM-B026,00:05:28.880,00:05:41.620,12.740,GFX,FX015,GFX_FINAL::FX015,HIA EXPLANATORY GFX,Project-created final GFX,PASS — 55/55 GFX lower 12–15% safe-zone lock,"Logistics count composition: 340 rail cars versus 260 trucks, two streams merging into mine-site assembly point",LOCKED
BM-B027,00:05:42.340,00:05:50.960,8.620,RECONSTRUCTION,GEN02,RECON_FINAL::GEN02,AI RECONSTRUCTION,Project-created AI reconstruction,PASS — 22/22 production-accepted; caption-safe framing required,"AI reconstruction: wide onsite assembly birthplace, circular tub and partial house under erection, major boom sections staged nearby",LOCKED
BM-B028,00:05:51.720,00:06:03.530,11.810,RECONSTRUCTION,GEN03,RECON_FINAL::GEN03,AI RECONSTRUCTION,Project-created AI reconstruction,PASS — 22/22 production-accepted; caption-safe framing required,"AI reconstruction: close industrial assembly operation—crane setting a huge lattice/structural component, focus on complexity rather than whole machine",LOCKED
BM-B029,00:06:04.110,00:06:14.350,10.240,RECONSTRUCTION,GEN04,RECON_FINAL::GEN04,AI RECONSTRUCTION,Project-created AI reconstruction,PASS — 22/22 production-accepted; caption-safe framing required,"AI reconstruction: ground-level assembly workers beside colossal components, human-scale contrast, incomplete 4250-W behind them",LOCKED
BM-B030,00:06:15.000,00:06:27.180,12.180,REAL,R03,SOURCE_ARCHIVE_V2_CLEAN::R03,HISTORICAL SOURCE,PUBLIC DOMAIN — U.S. DOE,PASS — editorial reframe keeps essential subject above caption band,Second and final R03 appearance: c.1969 machine shown with clean dimension callouts for mass and height only,LOCKED
BM-B031,00:06:28.020,00:06:38.320,10.300,REAL,R02,SOURCE_ARCHIVE_V2_CLEAN::R02,HISTORICAL SOURCE,PUBLIC DOMAIN — U.S. EPA / NARA,PASS — editorial reframe keeps essential subject above caption band,"Second and final R02 appearance: different crop emphasizing boom length / width / boom-down length, not the earlier full-frame composition",LOCKED
BM-B032,00:06:39.280,00:06:50.900,11.620,REAL,R08,SOURCE_ARCHIVE_V2_CLEAN::R08,CURRENT PHOTO,CC BY-SA 3.0 — Eric Gunderson; re-verified on Wikimedia Commons 2026-09-24,PASS — editorial reframe keeps essential subject above caption band,"South-facing current bucket angle, tight architectural crop emphasizing 220 yd³ empty volume and shell thickness",LOCKED
BM-B033,00:06:51.640,00:07:00.200,8.560,RECONSTRUCTION,GEN05,RECON_FINAL::GEN05,AI RECONSTRUCTION,Project-created AI reconstruction,PASS — 22/22 production-accepted; caption-safe framing required,"AI reconstruction: historically grounded bucket filled with overburden at ground level, payload mass physically readable before hoist",LOCKED
BM-B034,00:07:00.200,00:07:11.600,11.400,RECONSTRUCTION,GEN06,RECON_FINAL::GEN06,AI RECONSTRUCTION,Project-created AI reconstruction,PASS — 22/22 production-accepted; caption-safe framing required,"AI reconstruction: wide operating-era Big Muskie with bucket path visible across cut, physical relationship between entire machine and bucket",LOCKED
BM-B035,00:07:11.900,00:07:25.020,13.120,GFX,FX016,GFX_FINAL::FX016,HIA EXPLANATORY GFX,Project-created final GFX,PASS — 55/55 GFX lower 12–15% safe-zone lock,Six-step cycle wheel with mechanical-system labels replacing generic arrows: fill / hoist / swing / dump / return / repeat,LOCKED
BM-B036,00:07:25.860,00:07:36.800,10.940,RECONSTRUCTION,GEN07,RECON_FINAL::GEN07,AI RECONSTRUCTION,Project-created AI reconstruction,PASS — 22/22 production-accepted; caption-safe framing required,"AI reconstruction: operating cycle phase 1—bucket down on broken overburden, drag ropes taut, start of cut",LOCKED
BM-B037,00:07:37.280,00:07:49.460,12.180,RECONSTRUCTION,GEN08,RECON_FINAL::GEN08,AI RECONSTRUCTION,Project-created AI reconstruction,PASS — 22/22 production-accepted; caption-safe framing required,"AI reconstruction: phase 2—loaded 220-yd³ bucket just leaving ground under hoist, heavy overburden visible",LOCKED
BM-B038,00:07:50.400,00:08:01.480,11.080,DOCUMENT,D03,SOURCE_ARCHIVE_V2_CLEAN::D03,DOCUMENT — ENGINEERING LINEAGE,"DOCUMENT — US3531088A hoist patent; engineering lineage, not exact 4250-W blueprint",PASS — crop/reframe document content above caption band,First D03 appearance: clean crop of hoist patent mechanism with only relevant rope/drum path highlighted,LOCKED
BM-B039,00:08:01.480,00:08:12.460,10.980,RECONSTRUCTION,GEN09,RECON_FINAL::GEN09,AI RECONSTRUCTION,Project-created AI reconstruction,PASS — 22/22 production-accepted; caption-safe framing required,AI reconstruction: phase 3—loaded bucket elevated while upper works swing toward spoil dump point,LOCKED
BM-B040,00:08:13.100,00:08:28.220,15.120,RECONSTRUCTION,GEN10,RECON_FINAL::GEN10,AI RECONSTRUCTION,Project-created AI reconstruction,PASS — 22/22 production-accepted; caption-safe framing required,"AI reconstruction: phase 4—bucket at spoil bank immediately after dump, machine beginning return cycle; visually distinct direction and composition",LOCKED
BM-B041,00:08:28.220,00:08:39.960,11.740,DOCUMENT,D03,SOURCE_ARCHIVE_V2_CLEAN::D03,DOCUMENT — ENGINEERING LINEAGE,"DOCUMENT — US3531088A hoist patent; engineering lineage, not exact 4250-W blueprint",PASS — crop/reframe document content above caption band,"Second and final D03 appearance: different patent crop focusing drive/drum arrangement; side annotations explain functional role, not exact 4250-W blueprint",LOCKED
BM-B042,00:08:39.960,00:08:55.380,15.420,RECONSTRUCTION,GEN11,RECON_FINAL::GEN11,AI RECONSTRUCTION,Project-created AI reconstruction,PASS — 22/22 production-accepted; caption-safe framing required,"AI reconstruction: source-grounded electrical/motor machinery space inside giant dragline, multiple large DC motor housings and service access, no invented readable labels",LOCKED
BM-B043,00:08:55.380,00:09:08.020,12.640,GFX,FX017,GFX_FINAL::FX017,HIA EXPLANATORY GFX,Project-created final GFX,PASS — 55/55 GFX lower 12–15% safe-zone lock,"28 main-motion motor map: 10 hoist / 8 drag / 10 swing as three spatially separated banks, no document page visible",LOCKED
BM-B044,00:09:08.880,00:09:17.540,8.660,GFX,FX018,GFX_FINAL::FX018,HIA EXPLANATORY GFX,Project-created final GFX,PASS — 55/55 GFX lower 12–15% safe-zone lock,Hoist-load force-path animation from bucket weight through ropes to drums and structure; one-direction stress visualization,LOCKED
BM-B045,00:09:17.980,00:09:28.360,10.380,GFX,FX019,GFX_FINAL::FX019,HIA EXPLANATORY GFX,Project-created final GFX,PASS — 55/55 GFX lower 12–15% safe-zone lock,Swing-versus-drag comparison: two mechanical paths animate independently then synchronize into cycle timing,LOCKED
BM-B046,00:09:28.900,00:09:37.380,8.480,GFX,FX020,GFX_FINAL::FX020,HIA EXPLANATORY GFX,Project-created final GFX,PASS — 55/55 GFX lower 12–15% safe-zone lock,"Start/stop shock-control composition: mass/inertia waveform traveling through boom/house/tub, then damped by controlled motion",LOCKED
BM-B047,00:09:38.360,00:09:48.400,10.040,RECONSTRUCTION,GEN12,RECON_FINAL::GEN12,AI RECONSTRUCTION,Project-created AI reconstruction,PASS — 22/22 production-accepted; caption-safe framing required,"AI reconstruction: exterior power-feed scene with massive trailing high-voltage cable entering Big Muskie across prepared mine floor, no workers in caption zone",LOCKED
BM-B048,00:09:48.900,00:10:01.800,12.900,GFX,FX021,GFX_FINAL::FX021,HIA EXPLANATORY GFX,Project-created final GFX,PASS — 55/55 GFX lower 12–15% safe-zone lock,13.8-kV feed + 105-ft tub top-down diagram; cable path and circular bearing footprint in blueprint-gray linework,LOCKED
BM-B049,00:10:02.800,00:10:14.360,11.560,RECONSTRUCTION,GEN13,RECON_FINAL::GEN13,AI RECONSTRUCTION,Project-created AI reconstruction,PASS — 22/22 production-accepted; caption-safe framing required,"AI reconstruction: low three-quarter view focused on circular tub bearing the enormous upper structure, stability and ground contact as subject",LOCKED
BM-B050,00:10:14.360,00:10:29.020,14.660,RECONSTRUCTION,GEN14,RECON_FINAL::GEN14,AI RECONSTRUCTION,Project-created AI reconstruction,PASS — 22/22 production-accepted; caption-safe framing required,"AI reconstruction: Big Muskie captured mid walking step on prepared route, four shoes/tub logic visible, absolutely no tracks or wheels",LOCKED
BM-B051,00:10:29.020,00:10:43.160,14.140,GFX,B051_TECH_RECON,REMOTION_V3_DIRECT::B051_FINAL,HIA TECHNICAL RECONSTRUCTION,Project-created technical reconstruction,PASS — user-approved final frame; lower 12–15% clear,"Final walking-shoe mechanism reconstruction: broad circular tub/base with broad flat walking shoes; no crawler/wheels/spider legs; accepted by user",LOCKED
BM-B052,00:10:43.160,00:10:54.900,11.740,GFX,B052_TECH_RECON,REMOTION_V3_DIRECT::B052_FINAL,HIA TECHNICAL RECONSTRUCTION,Project-created technical reconstruction,PASS — USER OVERRIDE: accepted unchanged; final caption baseline must avoid lower step labels,"Final stepping-propulsion reconstruction: circular tub + broad shoes + 3-step load-transfer sequence; accepted unchanged by user",LOCKED
BM-B053,00:10:55.660,00:11:06.600,10.940,RECONSTRUCTION,GEN15,RECON_FINAL::GEN15,AI RECONSTRUCTION,Project-created AI reconstruction,PASS — 22/22 production-accepted; caption-safe framing required,AI reconstruction: ground crew preparing travel path and managing trailing cable while Big Muskie looms in background,LOCKED
BM-B054,00:11:07.120,00:11:15.660,8.540,REAL_CONTEXT,C09,SOURCE_ARCHIVE_V2_CLEAN::C09,HISTORICAL CONTEXT — NOT BIG MUSKIE,PUBLIC DOMAIN — U.S. EPA / NARA; Ohio regional context only,PASS — editorial reframe keeps essential subject above caption band,Ohio Power road closure/land-control frame near Chandlersville; route/infrastructure context with simple path overlay,LOCKED
BM-B055,00:11:16.460,00:11:27.420,10.960,RECONSTRUCTION,GEN16,RECON_FINAL::GEN16,AI RECONSTRUCTION,Project-created AI reconstruction,PASS — 22/22 production-accepted; caption-safe framing required,"AI reconstruction: maintenance team working at base/machine-house access area, human scale versus machinery",LOCKED
BM-B056,00:11:28.360,00:11:40.180,11.820,GFX,FX022,GFX_FINAL::FX022,HIA EXPLANATORY GFX,Project-created final GFX,PASS — 55/55 GFX lower 12–15% safe-zone lock,"Seven-member crew / support-role radial diagram: operator / maintenance / power / ground prep / planning, silhouettes only",LOCKED
BM-B057,00:11:40.180,00:11:50.420,10.240,RECONSTRUCTION,GEN17,RECON_FINAL::GEN17,AI RECONSTRUCTION,Project-created AI reconstruction,PASS — 22/22 production-accepted; caption-safe framing required,"AI reconstruction: separate operating-crew coordination scene from elevated access/cab approach, people communicating while machine works in background",LOCKED
BM-B058,00:11:51.240,00:12:04.640,13.400,GFX,FX023,GFX_FINAL::FX023,HIA EXPLANATORY GFX,Project-created final GFX,PASS — 55/55 GFX lower 12–15% safe-zone lock,Workplace dependency map: five human roles feeding one operating cycle; no repeated crew photograph,LOCKED
BM-B059,00:12:04.640,00:12:15.400,10.760,REAL_CONTEXT,C02,SOURCE_ARCHIVE_V2_CLEAN::C02,HISTORICAL CONTEXT — NOT BIG MUSKIE,PUBLIC DOMAIN — U.S. EPA / NARA; Ohio regional context only,PASS — editorial reframe keeps essential subject above caption band,Regional coal-loading/truck system frame; explicit CONTEXT label and split arrow showing Big Muskie stops at overburden,LOCKED
BM-B060,00:12:15.940,00:12:29.140,13.200,REAL_CONTEXT,C19,SOURCE_ARCHIVE_V2_CLEAN::C19,HISTORICAL CONTEXT — NOT BIG MUSKIE,PUBLIC DOMAIN — U.S. EPA / NARA; Ohio regional context only,PASS — editorial reframe keeps essential subject above caption band,"Second and final C19 use: tighter crop on trucks/farm contrast, linked by line to power-station icon as the larger industrial body",LOCKED
BM-B061,00:12:29.440,00:12:41.800,12.360,GFX,FX024,GFX_FINAL::FX024,HIA EXPLANATORY GFX,Project-created final GFX,PASS — 55/55 GFX lower 12–15% safe-zone lock,System dependency chain with Big Muskie as one node among power plant / mine / coal handling / transport; node failure propagation,LOCKED
BM-B062,00:12:42.780,00:12:56.440,13.660,GFX,FX025,GFX_FINAL::FX025,HIA EXPLANATORY GFX,Project-created final GFX,PASS — 55/55 GFX lower 12–15% safe-zone lock,"Single-point vulnerability composition: many system nodes collapse onto one oversized central machine icon, then availability drops",LOCKED
BM-B063,00:12:56.440,00:13:10.720,14.280,REAL,R01,SOURCE_ARCHIVE_V2_CLEAN::R01,HISTORICAL SOURCE,PUBLIC DOMAIN — U.S. EPA / NARA,PASS — editorial reframe keeps essential subject above caption band,"Second and final R01 appearance: crop emphasizing active machine against mine, >8,000 yd³ operating-hour figure as small sourced overlay",LOCKED
BM-B064,00:13:11.400,00:13:26.420,15.020,GFX,FX026,GFX_FINAL::FX026,HIA EXPLANATORY GFX,Project-created final GFX,PASS — 55/55 GFX lower 12–15% safe-zone lock,Lifetime-volume scale: 483M yd³ translated into a growing excavated-volume block beside fixed machine silhouette; no archive photo,LOCKED
BM-B065,00:13:26.420,00:13:34.780,8.360,REAL_CONTEXT,C10,SOURCE_ARCHIVE_V2_CLEAN::C10,HISTORICAL CONTEXT — NOT BIG MUSKIE,PUBLIC DOMAIN — U.S. EPA / NARA; Ohio regional context only,PASS — editorial reframe keeps essential subject above caption band,Second and final C10 use: different landscape crop with ~18M tons coal-exposed annotation and no Big Muskie implication,LOCKED
BM-B066,00:13:35.440,00:13:50.060,14.620,DOCUMENT,D05,SOURCE_ARCHIVE_V2_CLEAN::D05,DOCUMENT,DOCUMENT — 1977 U.S. Bureau of Mines / Penn State study; exact cited pages/figures only,PASS — crop/reframe document content above caption band,First D05 appearance: report cover/page-8 transition into Figure 3 aerial; establish this as operating-data source,LOCKED
BM-B067,00:13:50.060,00:14:05.800,15.740,GFX,FX027,GFX_FINAL::FX027,HIA EXPLANATORY GFX,Project-created final GFX,PASS — 55/55 GFX lower 12–15% safe-zone lock,75.25-second cycle clock built from Table 8 values; bucket icon completes one cycle around circular timer,LOCKED
BM-B068,00:14:06.640,00:14:19.160,12.520,GFX,FX028,GFX_FINAL::FX028,HIA EXPLANATORY GFX,Project-created final GFX,PASS — 55/55 GFX lower 12–15% safe-zone lock,Fast six-panel kinetic recap of cycle phases using vector silhouettes only; no GEN07–GEN10 stills reused,LOCKED
BM-B069,00:14:20.000,00:14:31.140,11.140,DOCUMENT,D05,SOURCE_ARCHIVE_V2_CLEAN::D05,DOCUMENT,DOCUMENT — 1977 U.S. Bureau of Mines / Penn State study; exact cited pages/figures only,PASS — crop/reframe document content above caption band,"Second and final D05 appearance: Table 8 / page-24 data crop with 35% availability and 1,949,200 yd³ row boxed",LOCKED
BM-B070,00:14:32.280,00:14:43.840,11.560,GFX,FX029,GFX_FINAL::FX029,HIA EXPLANATORY GFX,Project-created final GFX,PASS — 55/55 GFX lower 12–15% safe-zone lock,Scope-warning card: one calendar month highlighted inside full career timeline; 35% locked to that measured window,LOCKED
BM-B071,00:14:43.840,00:14:56.000,12.160,GFX,FX030,GFX_FINAL::FX030,HIA EXPLANATORY GFX,Project-created final GFX,PASS — 55/55 GFX lower 12–15% safe-zone lock,"Mechanical-availability calendar: operating blocks versus unavailable blocks, documentary restrained not dashboard UI",LOCKED
BM-B072,00:14:56.680,00:15:06.180,9.500,GFX,FX031,GFX_FINAL::FX031,HIA EXPLANATORY GFX,Project-created final GFX,PASS — 55/55 GFX lower 12–15% safe-zone lock,1.9492M yd³ month converted into stacked volume blocks while 35% availability remains fixed in corner,LOCKED
BM-B073,00:15:06.660,00:15:19.000,12.340,GFX,FX032,GFX_FINAL::FX032,HIA EXPLANATORY GFX,Project-created final GFX,PASS — 55/55 GFX lower 12–15% safe-zone lock,"Paradox composition: left productivity bar rises, right maintenance/availability bar falls; center label “same actual-data row”",LOCKED
BM-B074,00:15:20.020,00:15:30.080,10.060,GFX,FX033,GFX_FINAL::FX033,HIA EXPLANATORY GFX,Project-created final GFX,PASS — 55/55 GFX lower 12–15% safe-zone lock,Capability concentration graphic: one giant machine icon contains most stripping capacity; outage removes entire block,LOCKED
BM-B075,00:15:30.700,00:15:41.220,10.520,RECONSTRUCTION,GEN18,RECON_FINAL::GEN18,AI RECONSTRUCTION,Project-created AI reconstruction,PASS — 22/22 production-accepted; caption-safe framing required,"AI reconstruction: solitary Big Muskie on vast mine floor with no duplicate/spare machine anywhere, emphasizing unique dependency",LOCKED
BM-B076,00:15:41.980,00:15:44.920,2.940,GFX,FX034,GFX_FINAL::FX034,HIA EXPLANATORY GFX,Project-created final GFX,PASS — 55/55 GFX lower 12–15% safe-zone lock,Failure-path strip: component fault → machine unavailable → stripping stops → coal exposure constrained,LOCKED
BM-B077,00:15:45.760,00:15:57.720,11.960,RECONSTRUCTION,GEN19,RECON_FINAL::GEN19,AI RECONSTRUCTION,Project-created AI reconstruction,PASS — 22/22 production-accepted; caption-safe framing required,"AI reconstruction: breakdown/repair scene distinct from GEN16—opened service area, mechanics diagnosing stalled machine, factual non-dramatic tone",LOCKED
BM-B078,00:15:58.660,00:16:12.540,13.880,GFX,FX035,GFX_FINAL::FX035,HIA EXPLANATORY GFX,Project-created final GFX,PASS — 55/55 GFX lower 12–15% safe-zone lock,Attributed Lindimore recollection on left versus measured D05 availability snapshot on right; clearly separates memory from statistic,LOCKED
BM-B079,00:16:13.140,00:16:22.440,9.300,GFX,FX036,GFX_FINAL::FX036,HIA EXPLANATORY GFX,Project-created final GFX,PASS — 55/55 GFX lower 12–15% safe-zone lock,1966→1991 changing-inputs timeline with five tracks: demand / geology / mining tech / coal economics / regulation,LOCKED
BM-B080,00:16:22.440,00:16:32.020,9.580,GFX,FX037,GFX_FINAL::FX037,HIA EXPLANATORY GFX,Project-created final GFX,PASS — 55/55 GFX lower 12–15% safe-zone lock,"Question pivot composition: giant bucket/machine silhouette fades while alternative mining-system paths appear, “Does the mine still need this?”",LOCKED
BM-B081,00:16:32.020,00:16:42.960,10.940,GFX,FX038,GFX_FINAL::FX038,HIA EXPLANATORY GFX,Project-created final GFX,PASS — 55/55 GFX lower 12–15% safe-zone lock,Five-condition pentagon representing original design logic; nodes begin changing color/position as 1980s arrive,LOCKED
BM-B082,00:16:43.740,00:16:57.000,13.260,GFX,FX039,GFX_FINAL::FX039,HIA EXPLANATORY GFX,Project-created final GFX,PASS — 55/55 GFX lower 12–15% safe-zone lock,"Alternatives board: dragline-led stripping versus newer mining-system pathways, abstract sourced comparison without fake equipment photo",LOCKED
BM-B083,00:16:57.000,00:17:10.420,13.420,DOCUMENT,D06,SOURCE_ARCHIVE_V2_CLEAN::D06,DOCUMENT,DOCUMENT — U.S. EPA Title IV source; exact timing/context only,PASS — crop/reframe document content above caption band,First D06 appearance: EPA Title IV source page/title with 1990 amendment context highlighted,LOCKED
BM-B084,00:17:11.540,00:17:20.760,9.220,GFX,FX040,GFX_FINAL::FX040,HIA EXPLANATORY GFX,Project-created final GFX,PASS — 55/55 GFX lower 12–15% safe-zone lock,Myth/reality split: “one law killed it” line struck through; multi-factor evidence branches beneath,LOCKED
BM-B085,00:17:20.760,00:17:33.680,12.920,DOCUMENT,D06,SOURCE_ARCHIVE_V2_CLEAN::D06,DOCUMENT,DOCUMENT — U.S. EPA Title IV source; exact timing/context only,PASS — crop/reframe document content above caption band,Second and final D06 appearance: crop highlighting Phase I timing / 1995 date,LOCKED
BM-B086,00:17:34.960,00:17:45.800,10.840,GFX,FX041,GFX_FINAL::FX041,HIA EXPLANATORY GFX,Project-created final GFX,PASS — 55/55 GFX lower 12–15% safe-zone lock,Clean date rail: 1990 amendments → Jan 1991 Big Muskie idle → 1995 Phase I compliance,LOCKED
BM-B087,00:17:46.520,00:17:59.840,13.320,GFX,FX042,GFX_FINAL::FX042,HIA EXPLANATORY GFX,Project-created final GFX,PASS — 55/55 GFX lower 12–15% safe-zone lock,Three-factor matrix: high-sulfur coal economics / mining technology / regulatory expectations converge on reduced rationale,LOCKED
BM-B088,00:18:00.860,00:18:13.560,12.700,GFX,FX043,GFX_FINAL::FX043,HIA EXPLANATORY GFX,Project-created final GFX,PASS — 55/55 GFX lower 12–15% safe-zone lock,1966 application-study decision tree ends at 4250-W silhouette; historical photo not repeated,LOCKED
