beat_id,start,end,duration_seconds,chapter,narration,asset_class,specific_asset_requirement,provenance,motion_editing,gfx,rights_qc,status
SAT-B011,00:01:39.380,00:01:53.080,13.7,ACT II — the five-project system,Project Five itself was only about fourteen percent complete. The physical project advanced. The estimate for completing Projects Four and Five had already moved far beyond the original combined plan.,DOCUMENT_GFX,"Relevant official-source excerpt, restrained typographic pull-quote, or factual HIA diagram that makes the clause visually specific.",DOCUMENT only for the verified source page; otherwise no historical label,One purposeful reveal or hard cut; avoid generic cards and wallpaper text.,Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,Every visible number and label must remain traceable to the claim-source map. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B012,00:01:53.080,00:02:02.480,9.4,ACT II — the five-project system,"But this was not just a construction problem. It was a promise to pay. To see how the region reached that point, rewind sixteen years.",ARCHIVE_PHOTO,Authenticated period construction photograph/film tied to the correct Satsop unit and date; use documents/GFX if rights remain unclear.,HISTORICAL SOURCE only while verified archive is actually visible,"Hard cut; static or ≤3% restrained crop; alternate scale, labor, structure, and site views.",Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,Do not misidentify Unit Three/Five or reuse one image as fake visual progression. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B013,00:02:02.480,00:02:10.980,8.5,ACT II — the five-project system,"Through the mid-twentieth century, federal hydroelectric projects supplied most of the Pacific Northwest's electricity.",MAP_GFX,"Original HIA map/site-plan GFX grounded in official geography and unit layout; distinguish Project Three, Project Five, Hanford, and shared infrastructure.",No historical label; cite map/data sources,"Clean map trace or plan reveal; static labels, restrained camera, no fake satellite UI.",None beyond captions unless a number/date named in narration materially improves comprehension.,Unit placement and common-system geometry must be authenticated before final lock. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B014,00:02:10.980,00:02:22.220,11.24,ACT II — the five-project system,"By 1966, planners projected demand growing beyond what that system could provide. Utilities and Bonneville organized a regional planning effort.",MAP_GFX,"Original HIA map/site-plan GFX grounded in official geography and unit layout; distinguish Project Three, Project Five, Hanford, and shared infrastructure.",No historical label; cite map/data sources,"Clean map trace or plan reveal; static labels, restrained camera, no fake satellite UI.",Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,Unit placement and common-system geometry must be authenticated before final lock. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B015,00:02:22.220,00:02:35.380,13.16,ACT II — the five-project system,"In 1969, that effort adopted a plan calling for several large thermal plants. the Supply System moved from a small organization into a builder of five nuclear projects.",DOCUMENT_GFX,"Relevant official-source excerpt, restrained typographic pull-quote, or factual HIA diagram that makes the clause visually specific.",DOCUMENT only for the verified source page; otherwise no historical label,One purposeful reveal or hard cut; avoid generic cards and wallpaper text.,Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,Every visible number and label must remain traceable to the claim-source map. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B016,00:02:35.380,00:02:45.170,9.79,ACT II — the five-project system,"Before 1968 it had fewer than one hundred employees. By March 1979, it had 1,471.",DOCUMENT,"Authenticated government/owner record page or dated period source tied to the stated event; highlight only the cited date, decision, or figure.",DOCUMENT,"Hard cut into a restrained page crop; one highlight/reveal, no generic document carousel.",Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,"Verify page, agency, date, and embedded third-party rights before edit. Caption-safe lower 15% required.",PLANNED — ASSET NOT YET CLEARED
SAT-B017,00:02:45.170,00:03:01.300,16.13,ACT II — the five-project system,"This was not one isolated plant running over budget. It was an entire portfolio competing for engineering, contractors, equipment, regulatory attention, and financing at the same time.",DOCUMENT_GFX,"Relevant official-source excerpt, restrained typographic pull-quote, or factual HIA diagram that makes the clause visually specific.",DOCUMENT only for the verified source page; otherwise no historical label,One purposeful reveal or hard cut; avoid generic cards and wallpaper text.,None beyond captions unless a number/date named in narration materially improves comprehension.,Every visible number and label must remain traceable to the claim-source map. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B018,00:03:01.300,00:03:10.260,8.96,ACT II — the five-project system,"Only one of those five projects would eventually operate: Project Two at Hanford, which entered commercial service in December 1984.",MAP_GFX,"Original HIA map/site-plan GFX grounded in official geography and unit layout; distinguish Project Three, Project Five, Hanford, and shared infrastructure.",No historical label; cite map/data sources,"Clean map trace or plan reveal; static labels, restrained camera, no fake satellite UI.",Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,Unit placement and common-system geometry must be authenticated before final lock. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B019,00:03:10.260,00:03:23.280,13.02,ACT II — the five-project system,"By July 1976, eighty-eight customers of the Bonneville Power Administration and one private utility had become participants in Projects Four and Five.",DOCUMENT,"Authenticated government/owner record page or dated period source tied to the stated event; highlight only the cited date, decision, or figure.",DOCUMENT,"Hard cut into a restrained page crop; one highlight/reveal, no generic document carousel.",Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,"Verify page, agency, date, and embedded third-party rights before edit. Caption-safe lower 15% required.",PLANNED — ASSET NOT YET CLEARED
SAT-B020,00:03:23.280,00:03:30.930,7.65,ACT II — the five-project system,The bonds were backed by contracts containing a take-or-pay obligation. The phrase sounds obscure.,GFX,"Source-grounded finance-flow or comparison graphic using the exact parties, percentages, and dollar basis stated in narration.",No historical label; cite source data in asset manifest,Remotion line/shape reveal keyed to spoken clauses; one comparison at a time.,None beyond captions unless a number/date named in narration materially improves comprehension.,Do not imply nominal-dollar equivalence or merge Project Three and Project Five financing. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B021,00:03:30.930,00:03:39.580,8.65,ACT II — the five-project system,"Its meaning was painfully clear. Participants were required to pay their share whether the plants were completed, operable, or operating.",DOCUMENT_GFX,"Relevant official-source excerpt, restrained typographic pull-quote, or factual HIA diagram that makes the clause visually specific.",DOCUMENT only for the verified source page; otherwise no historical label,One purposeful reveal or hard cut; avoid generic cards and wallpaper text.,None beyond captions unless a number/date named in narration materially improves comprehension.,Every visible number and label must remain traceable to the claim-source map. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B022,00:03:39.580,00:03:53.240,13.66,ACT II — the five-project system,"When the projects were alive, that promise helped make their bonds marketable. Once construction ended, it meant utilities could still face the cost of plants that would never deliver power.",GFX,"Source-grounded finance-flow or comparison graphic using the exact parties, percentages, and dollar basis stated in narration.",No historical label; cite source data in asset manifest,Remotion line/shape reveal keyed to spoken clauses; one comparison at a time.,None beyond captions unless a number/date named in narration materially improves comprehension.,Do not imply nominal-dollar equivalence or merge Project Three and Project Five financing. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B023,00:03:53.240,00:04:01.980,8.74,ACT II — the five-project system,GAO reported that rate increases would be required to service the debt. Utilities and ratepayers went to court.,DOCUMENT_GFX,"Relevant official-source excerpt, restrained typographic pull-quote, or factual HIA diagram that makes the clause visually specific.",DOCUMENT only for the verified source page; otherwise no historical label,One purposeful reveal or hard cut; avoid generic cards and wallpaper text.,None beyond captions unless a number/date named in narration materially improves comprehension.,Every visible number and label must remain traceable to the claim-source map. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B024,00:04:01.980,00:04:09.640,7.66,ACT II — the five-project system,The question was no longer only whether the projects should continue. It was who would carry the bill after they stopped.,DOCUMENT_GFX,"Relevant official-source excerpt, restrained typographic pull-quote, or factual HIA diagram that makes the clause visually specific.",DOCUMENT only for the verified source page; otherwise no historical label,One purposeful reveal or hard cut; avoid generic cards and wallpaper text.,None beyond captions unless a number/date named in narration materially improves comprehension.,Every visible number and label must remain traceable to the claim-source map. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B025,00:04:09.640,00:04:20.880,11.24,ACT II — the five-project system,"On July 22, 1983, the Project Four and Five bonds went into default. That is the famous the Supply System financial collapse.",DOCUMENT,"Authenticated government/owner record page or dated period source tied to the stated event; highlight only the cited date, decision, or figure.",DOCUMENT,"Hard cut into a restrained page crop; one highlight/reveal, no generic document carousel.",Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,"Verify page, agency, date, and embedded third-party rights before edit. Caption-safe lower 15% required.",PLANNED — ASSET NOT YET CLEARED
SAT-B026,00:04:20.880,00:04:31.760,10.88,ACT II — the five-project system,"And yet the neighboring project at Satsop did not end with it. To understand why, the two towers have to be separated financially.",MAP_GFX,"Original HIA map/site-plan GFX grounded in official geography and unit layout; distinguish Project Three, Project Five, Hanford, and shared infrastructure.",No historical label; cite map/data sources,"Clean map trace or plan reveal; static labels, restrained camera, no fake satellite UI.",None beyond captions unless a number/date named in narration materially improves comprehension.,Unit placement and common-system geometry must be authenticated before final lock. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B027,00:04:31.760,00:04:38.140,6.38,ACT II — the five-project system,Project Five belonged to the participant-financed Project Four and Five system.,DOCUMENT_GFX,"Relevant official-source excerpt, restrained typographic pull-quote, or factual HIA diagram that makes the clause visually specific.",DOCUMENT only for the verified source page; otherwise no historical label,One purposeful reveal or hard cut; avoid generic cards and wallpaper text.,Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,Every visible number and label must remain traceable to the claim-source map. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B028,00:04:38.140,00:04:49.420,11.28,ACT II — the five-project system,"Project Three belonged to an earlier group supported through net billing with Bonneville, the federal agency that marketed power from the Northwest's federal hydroelectric system.",GFX,"Source-grounded finance-flow or comparison graphic using the exact parties, percentages, and dollar basis stated in narration.",No historical label; cite source data in asset manifest,Remotion line/shape reveal keyed to spoken clauses; one comparison at a time.,Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,Do not imply nominal-dollar equivalence or merge Project Three and Project Five financing. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B029,00:04:49.420,00:04:56.520,7.1,ACT II — the five-project system,Public utilities held capability shares in Project Three and assigned them to Bonneville.,DOCUMENT,Verified capability-share/net-billing agreement excerpt showing the assignment relationship among public utilities and Bonneville.,DOCUMENT,Highlight the parties and assignment clause; keep the rest of the page quiet.,Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,Use the correct Project Three agreement; do not substitute Project Four/Five participant contracts. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B030,00:04:56.520,00:05:07.380,10.86,ACT II — the five-project system,"In exchange, Bonneville credited project costs through their wholesale power bills. Seventy percent of Project Three used that public net-billing structure.",GFX,"Source-grounded finance-flow or comparison graphic using the exact parties, percentages, and dollar basis stated in narration.",No historical label; cite source data in asset manifest,Remotion line/shape reveal keyed to spoken clauses; one comparison at a time.,Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,Do not imply nominal-dollar equivalence or merge Project Three and Project Five financing. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B031,00:05:07.380,00:05:20.160,12.78,ACT II — the five-project system,"Four investor-owned utilities held the remaining thirty percent. A later settlement changed Bonneville's exposure, and Bonneville ultimately paid all Project Three project costs.",DOCUMENT_GFX,"Relevant official-source excerpt, restrained typographic pull-quote, or factual HIA diagram that makes the clause visually specific.",DOCUMENT only for the verified source page; otherwise no historical label,One purposeful reveal or hard cut; avoid generic cards and wallpaper text.,Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,Every visible number and label must remain traceable to the claim-source map. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B032,00:05:20.160,00:05:29.680,9.52,ACT II — the five-project system,The structures looked similar because both projects were planned as large pressurized-water reactors of roughly twelve hundred and forty megawatts.,TECH_GFX,Source-grounded simplified plant/system diagram showing only the components named in narration.,DOCUMENT if a verified drawing is visible; otherwise no historical label,Component-by-component reveal; no decorative gauges or invented engineering detail.,None beyond captions unless a number/date named in narration materially improves comprehension.,"Do not depict either Satsop unit as fueled, operating, or completed. Caption-safe lower 15% required.",PLANNED — ASSET NOT YET CLEARED
SAT-B033,00:05:29.680,00:05:38.316,8.636,ACT II — the five-project system,But a cooling tower cannot show who carries the next billion dollars of risk.,GFX,"Source-grounded finance-flow or comparison graphic using the exact parties, percentages, and dollar basis stated in narration.",No historical label; cite source data in asset manifest,Remotion line/shape reveal keyed to spoken clauses; one comparison at a time.,Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,Do not imply nominal-dollar equivalence or merge Project Three and Project Five financing. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B034,00:05:38.316,00:05:56.641,18.325,ACT III — financing split and collapse,"Nor can the tower show how much remained outside it. Each proposed Satsop unit included a reactor system, auxiliary building, turbine generator, cooling system, transmission connections, and supporting facilities.",MAP_GFX,"Original HIA map/site-plan GFX grounded in official geography and unit layout; distinguish Project Three, Project Five, Hanford, and shared infrastructure.",No historical label; cite map/data sources,"Clean map trace or plan reveal; static labels, restrained camera, no fake satellite UI.",None beyond captions unless a number/date named in narration materially improves comprehension.,Unit placement and common-system geometry must be authenticated before final lock. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B035,00:05:56.641,00:06:02.971,6.33,ACT III — financing split and collapse,"The tower was the most visible piece, but it was only the heat-rejection end of the plant.",ARCHIVE_PHOTO,Authenticated period construction photograph/film tied to the correct Satsop unit and date; use documents/GFX if rights remain unclear.,HISTORICAL SOURCE only while verified archive is actually visible,"Hard cut; static or ≤3% restrained crop; alternate scale, labor, structure, and site views.",None beyond captions unless a number/date named in narration materially improves comprehension.,Do not misidentify Unit Three/Five or reuse one image as fake visual progression. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B036,00:06:02.971,00:06:15.631,12.66,ACT III — financing split and collapse,"In operation, reactor heat would produce steam, the steam would spin a turbine generator, and the cooling system would remove waste heat so water could circulate again.",TECH_GFX,Source-grounded simplified plant/system diagram showing only the components named in narration.,DOCUMENT if a verified drawing is visible; otherwise no historical label,Component-by-component reveal; no decorative gauges or invented engineering detail.,None beyond captions unless a number/date named in narration materially improves comprehension.,"Do not depict either Satsop unit as fueled, operating, or completed. Caption-safe lower 15% required.",PLANNED — ASSET NOT YET CLEARED
SAT-B037,00:06:15.631,00:06:24.961,9.33,ACT III — financing split and collapse,"At Satsop, that chain was never completed and never entered service. Project Five hit its financing wall first.",MAP_GFX,"Original HIA map/site-plan GFX grounded in official geography and unit layout; distinguish Project Three, Project Five, Hanford, and shared infrastructure.",No historical label; cite map/data sources,"Clean map trace or plan reveal; static labels, restrained camera, no fake satellite UI.",Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,Unit placement and common-system geometry must be authenticated before final lock. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B038,00:06:24.961,00:06:36.411,11.45,ACT III — financing split and collapse,Project Three had enough support to enter a different state: neither advancing nor dead. Construction on Project Three was suspended in July 1983.,DOCUMENT,"Authenticated government/owner record page or dated period source tied to the stated event; highlight only the cited date, decision, or figure.",DOCUMENT,"Hard cut into a restrained page crop; one highlight/reveal, no generic document carousel.",Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,"Verify page, agency, date, and embedded third-party rights before edit. Caption-safe lower 15% required.",PLANNED — ASSET NOT YET CLEARED
SAT-B039,00:06:36.411,00:06:48.221,11.81,ACT III — financing split and collapse,Suspended did not mean terminated. Buildings and installed systems were protected. Equipment and construction materials retained possible value.,ARCHIVE_PHOTO,Authenticated period construction photograph/film tied to the correct Satsop unit and date; use documents/GFX if rights remain unclear.,HISTORICAL SOURCE only while verified archive is actually visible,"Hard cut; static or ≤3% restrained crop; alternate scale, labor, structure, and site views.",None beyond captions unless a number/date named in narration materially improves comprehension.,Do not misidentify Unit Three/Five or reuse one image as fake visual progression. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B040,00:06:48.221,00:06:56.801,8.58,ACT III — financing split and collapse,The option to finish the project remained open. Preservation bought time. It also cost money.,DOCUMENT_GFX,"Relevant official-source excerpt, restrained typographic pull-quote, or factual HIA diagram that makes the clause visually specific.",DOCUMENT only for the verified source page; otherwise no historical label,One purposeful reveal or hard cut; avoid generic cards and wallpaper text.,None beyond captions unless a number/date named in narration materially improves comprehension.,Every visible number and label must remain traceable to the claim-source map. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B041,00:06:56.801,00:07:07.941,11.14,ACT III — financing split and collapse,Every year changed the calculation. Equipment aged. Current regulatory requirements moved. Alternative generating technology improved.,CURRENT_FOOTAGE,"Cleared present-day Satsop exterior/interior footage or stills showing scale, empty infrastructure, and active reuse without implying total abandonment.",No HISTORICAL SOURCE label; retain creator/license attribution,"Hard cuts among distinct viewpoints; stable footage or restrained static reframe, never repeated oscillating zooms.",Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,Port material requires permission; restricted structures and active tenants must be represented accurately. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B042,00:07:07.941,00:07:16.081,8.14,ACT III — financing split and collapse,The region's demand forecasts changed. The site therefore required work without producing electricity.,MAP_GFX,"Original HIA map/site-plan GFX grounded in official geography and unit layout; distinguish Project Three, Project Five, Hanford, and shared infrastructure.",No historical label; cite map/data sources,"Clean map trace or plan reveal; static labels, restrained camera, no fake satellite UI.",None beyond captions unless a number/date named in narration materially improves comprehension.,Unit placement and common-system geometry must be authenticated before final lock. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B043,00:07:16.081,00:07:30.786,14.705,ACT III — financing split and collapse,Preservation meant inspecting what had been built and protecting material that might still be used. It also meant maintaining the option to restart and studying whether that option remained valuable.,ARCHIVE_PHOTO,Authenticated period construction photograph/film tied to the correct Satsop unit and date; use documents/GFX if rights remain unclear.,HISTORICAL SOURCE only while verified archive is actually visible,"Hard cut; static or ≤3% restrained crop; alternate scale, labor, structure, and site views.",None beyond captions unless a number/date named in narration materially improves comprehension.,Do not misidentify Unit Three/Five or reuse one image as fake visual progression. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B044,00:07:30.786,00:07:40.261,9.475,ACT III — financing split and collapse,"The longer preservation continued, the more the project faced a paradox. Keeping the option alive required spending money.",DOCUMENT_GFX,"Relevant official-source excerpt, restrained typographic pull-quote, or factual HIA diagram that makes the clause visually specific.",DOCUMENT only for the verified source page; otherwise no historical label,One purposeful reveal or hard cut; avoid generic cards and wallpaper text.,None beyond captions unless a number/date named in narration materially improves comprehension.,Every visible number and label must remain traceable to the claim-source map. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B045,00:07:40.261,00:07:54.011,13.75,ACT III — financing split and collapse,"But spending money to preserve an option did not prove that exercising the option would make sense. By 1994, Bonneville described the Project Three project as seventy-four percent physically complete.",DOCUMENT,"Authenticated government/owner record page or dated period source tied to the stated event; highlight only the cited date, decision, or figure.",DOCUMENT,"Hard cut into a restrained page crop; one highlight/reveal, no generic document carousel.",Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,"Verify page, agency, date, and embedded third-party rights before edit. Caption-safe lower 15% required.",PLANNED — ASSET NOT YET CLEARED
SAT-B046,00:07:54.011,00:08:04.071,10.06,ACT III — financing split and collapse,"Approximately two point six billion dollars had been invested, measured in 1993 dollars and including the investor-owned utilities' share.",DOCUMENT,"Authenticated government/owner record page or dated period source tied to the stated event; highlight only the cited date, decision, or figure.",DOCUMENT,"Hard cut into a restrained page crop; one highlight/reveal, no generic document carousel.",Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,"Verify page, agency, date, and embedded third-party rights before edit. Caption-safe lower 15% required.",PLANNED — ASSET NOT YET CLEARED
SAT-B047,00:08:04.071,00:08:14.951,10.88,ACT III — financing split and collapse,"The cooling tower stood almost five hundred feet high. The reactor and turbine buildings existed. From the road, the project could look close to finished.",TECH_GFX,Source-grounded simplified plant/system diagram showing only the components named in narration.,DOCUMENT if a verified drawing is visible; otherwise no historical label,Component-by-component reveal; no decorative gauges or invented engineering detail.,None beyond captions unless a number/date named in narration materially improves comprehension.,"Do not depict either Satsop unit as fueled, operating, or completed. Caption-safe lower 15% required.",PLANNED — ASSET NOT YET CLEARED
SAT-B048,00:08:14.951,00:08:26.231,11.28,ACT III — financing split and collapse,But completion is not measured by how much concrete is visible. It is measured by what still has to be spent and how long that money remains at risk.,ARCHIVE_PHOTO,Authenticated period construction photograph/film tied to the correct Satsop unit and date; use documents/GFX if rights remain unclear.,HISTORICAL SOURCE only while verified archive is actually visible,"Hard cut; static or ≤3% restrained crop; alternate scale, labor, structure, and site views.",None beyond captions unless a number/date named in narration materially improves comprehension.,Do not misidentify Unit Three/Five or reuse one image as fake visual progression. Caption-safe lower 15% required.,PLANNED — ASSET NOT YET CLEARED
SAT-B049,00:08:26.231,00:08:42.631,16.4,ACT III — financing split and collapse,"Most of all, it is measured by whether the electricity will be needed when the plant finally opens. In June 1993, Bonneville began another study of whether Project Three should remain preserved for nuclear completion.",DOCUMENT,"Authenticated government/owner record page or dated period source tied to the stated event; highlight only the cited date, decision, or figure.",DOCUMENT,"Hard cut into a restrained page crop; one highlight/reveal, no generic document carousel.",Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,"Verify page, agency, date, and embedded third-party rights before edit. Caption-safe lower 15% required.",PLANNED — ASSET NOT YET CLEARED
SAT-B050,00:08:42.631,00:08:52.911,10.28,ACT III — financing split and collapse,The conclusions went before the Supply System's Executive Board in November 1993 and its Board of Directors in January 1994.,DOCUMENT,"Authenticated government/owner record page or dated period source tied to the stated event; highlight only the cited date, decision, or figure.",DOCUMENT,"Hard cut into a restrained page crop; one highlight/reveal, no generic document carousel.",Use one restrained factual overlay for the named number/date; remove it before the next unrelated claim.,"Verify page, agency, date, and embedded third-party rights before edit. Caption-safe lower 15% required.",PLANNED — ASSET NOT YET CLEARED
