prompt_id,beat_id,start,end,duration_seconds,asset_class,prompt_grammar,required_reference_packages,reference_gate,overlay_plan,model,quality,resolution,aspect_ratio,cost_if_generated_credits,queue_status,test_grade_v1,test_grade_v2,prompt
SAT-GEN011,SAT-B019,00:03:10.260,00:03:23.280,13.02,AI_RECONSTRUCTION,NETWORK_GFX_BASE,R05,LOCKED_PASS_REUSE,88 BPA customers + 1 private utility,gpt_image_2,low,1k,16:9,0.0,LOCKED_PASS_REUSE,FAIL,PASS,"VISUAL PROPOSITION: Dark warm-paper regional map base with many small utility nodes converging on Projects Four and Five; no text, no fake boundaries, ample negative space for 88+1 overlay. ERA/STATE: 1976. Respect the exact stated era and state (1976); do not import construction activity, clothing, vehicles or technology from another period. Historically grounded 16:9 documentary reconstruction with restrained natural light and realistic materials. The Satsop projects never operated: no fuel, nuclear glow, operating steam, radioactive spectacle or completed plant presented as fact. Do not render titles, dates, numbers, logos, maps, signs, document text, arrows or labels; exact information is added later as editorial vector graphics. Keep the lower 15 percent calm for captions. One visual proposition only."
SAT-GEN012,SAT-B021,00:03:30.930,00:03:39.580,8.65,AI_RECONSTRUCTION,CONTRACT_MECHANISM,R03,LOCKED_PASS_REUSE,PAY WHETHER COMPLETED OR OPERATING,gpt_image_2,low,1k,16:9,0.0,LOCKED_PASS_REUSE,NOT_TESTED,PASS,"VISUAL PROPOSITION: Three-state triptych using the same payment folder in front of an unfinished plant, an inoperable plant and an idle plant; the obligation remains visually unchanged in all panels. ERA/STATE: late 1970s-1980s. Respect the exact stated era and state (late 1970s-1980s); do not import construction activity, clothing, vehicles or technology from another period. Historically grounded 16:9 documentary reconstruction with restrained natural light and realistic materials. The Satsop projects never operated: no fuel, nuclear glow, operating steam, radioactive spectacle or completed plant presented as fact. Do not render titles, dates, numbers, logos, maps, signs, document text, arrows or labels; exact information is added later as editorial vector graphics. Keep the lower 15 percent calm for captions. One visual proposition only."
SAT-GEN013,SAT-B023,00:03:53.240,00:04:01.980,8.74,AI_RECONSTRUCTION,RATEPAYER_SCALE,R03,BLOCKED_UNTIL_REAL_MEDIA_IDS_ATTACHED,RATE INCREASES / COURT,gpt_image_2,low,1k,16:9,0.5,REWRITTEN_NOT_AUTHORIZED,NOT_TESTED,NOT_TESTED,"VISUAL PROPOSITION: Period public-utility counter with household bills and court-file boxes in foreground, worried customers waiting, unfinished project photograph small in the background; all paper text blank. ERA/STATE: early 1980s. Respect the exact stated era and state (early 1980s); do not import construction activity, clothing, vehicles or technology from another period. Historically grounded 16:9 documentary reconstruction with restrained natural light and realistic materials. The Satsop projects never operated: no fuel, nuclear glow, operating steam, radioactive spectacle or completed plant presented as fact. Do not render titles, dates, numbers, logos, maps, signs, document text, arrows or labels; exact information is added later as editorial vector graphics. Keep the lower 15 percent calm for captions. One visual proposition only."
SAT-GEN014,SAT-B024,00:04:01.980,00:04:09.640,7.66,AI_RECONSTRUCTION,LIABILITY_METAPHOR,R03,BLOCKED_UNTIL_REAL_MEDIA_IDS_ATTACHED,WHO CARRIES THE BILL?,gpt_image_2,low,1k,16:9,0.5,REWRITTEN_NOT_AUTHORIZED,NOT_TESTED,NOT_TESTED,"VISUAL PROPOSITION: A stopped industrial gate at dusk with one heavy contract case being passed from project officials toward local utility representatives; no active construction. ERA/STATE: 1982-1983. Respect the exact stated era and state (1982-1983); do not import construction activity, clothing, vehicles or technology from another period. Historically grounded 16:9 documentary reconstruction with restrained natural light and realistic materials. The Satsop projects never operated: no fuel, nuclear glow, operating steam, radioactive spectacle or completed plant presented as fact. Do not render titles, dates, numbers, logos, maps, signs, document text, arrows or labels; exact information is added later as editorial vector graphics. Keep the lower 15 percent calm for captions. One visual proposition only."
SAT-GEN015,SAT-B025,00:04:09.640,00:04:20.880,11.24,AI_RECONSTRUCTION,FINANCIAL_COLLAPSE,R03,BLOCKED_UNTIL_REAL_MEDIA_IDS_ATTACHED,JUL 22 1983 / DEFAULT,gpt_image_2,low,1k,16:9,0.5,REWRITTEN_NOT_AUTHORIZED,NOT_TESTED,NOT_TESTED,"VISUAL PROPOSITION: Empty bond-market trading desk and stacked blank bond certificates under a single extinguished task lamp, with the halted Project Five foundation visible only through a window. ERA/STATE: July 1983. Respect the exact stated era and state (July 1983); do not import construction activity, clothing, vehicles or technology from another period. Historically grounded 16:9 documentary reconstruction with restrained natural light and realistic materials. The Satsop projects never operated: no fuel, nuclear glow, operating steam, radioactive spectacle or completed plant presented as fact. Do not render titles, dates, numbers, logos, maps, signs, document text, arrows or labels; exact information is added later as editorial vector graphics. Keep the lower 15 percent calm for captions. One visual proposition only."
SAT-GEN016,SAT-B026,00:04:20.880,00:04:31.760,10.88,AI_RECONSTRUCTION_MAP,MAP_BASE,R02,BLOCKED_UNTIL_REAL_MEDIA_IDS_ATTACHED,P5 PARTICIPANT FINANCE / P3 BPA PATH,gpt_image_2,low,1k,16:9,0.5,REWRITTEN_NOT_AUTHORIZED,FAIL,FAIL,"VISUAL PROPOSITION: Exact plan-matched two-project diagram plate divided into two clean financial lanes while retaining true site adjacency; no invented architecture or labels in the generated layer. ERA/STATE: neutral factual map. Respect the exact stated era and state (neutral factual map); do not import construction activity, clothing, vehicles or technology from another period. Historically grounded 16:9 documentary reconstruction with restrained natural light and realistic materials. The Satsop projects never operated: no fuel, nuclear glow, operating steam, radioactive spectacle or completed plant presented as fact. Do not render titles, dates, numbers, logos, maps, signs, document text, arrows or labels; exact information is added later as editorial vector graphics. Keep the lower 15 percent calm for captions. One visual proposition only."
SAT-GEN017,SAT-B027,00:04:31.760,00:04:38.140,6.38,AI_RECONSTRUCTION,FINANCE_NETWORK,R02+R03,BLOCKED_UNTIL_REAL_MEDIA_IDS_ATTACHED,P4+P5 participant system,gpt_image_2,low,1k,16:9,0.5,REWRITTEN_NOT_AUTHORIZED,NOT_TESTED,NOT_TESTED,"VISUAL PROPOSITION: Project Five foundation at the end of a branching chain of municipal utility offices, each connected by restrained empty line paths reserved for editorial graphics. ERA/STATE: late 1970s. Respect the exact stated era and state (late 1970s); do not import construction activity, clothing, vehicles or technology from another period. Historically grounded 16:9 documentary reconstruction with restrained natural light and realistic materials. The Satsop projects never operated: no fuel, nuclear glow, operating steam, radioactive spectacle or completed plant presented as fact. Do not render titles, dates, numbers, logos, maps, signs, document text, arrows or labels; exact information is added later as editorial vector graphics. Keep the lower 15 percent calm for captions. One visual proposition only."
SAT-GEN018,SAT-B029,00:04:49.420,00:04:56.520,7.1,AI_RECONSTRUCTION,INSTITUTIONAL,R03+R05,LOCKED_PASS_REUSE,capability shares → BPA,gpt_image_2,low,1k,16:9,0.0,LOCKED_PASS_REUSE,PASS,NOT_TESTED,"VISUAL PROPOSITION: Period utility boardroom with capability-share folders moving toward a central Bonneville representative; preserve the accepted TEST20 composition and do not regenerate. ERA/STATE: late 1970s. Respect the exact stated era and state (late 1970s); do not import construction activity, clothing, vehicles or technology from another period. Historically grounded 16:9 documentary reconstruction with restrained natural light and realistic materials. The Satsop projects never operated: no fuel, nuclear glow, operating steam, radioactive spectacle or completed plant presented as fact. Do not render titles, dates, numbers, logos, maps, signs, document text, arrows or labels; exact information is added later as editorial vector graphics. Keep the lower 15 percent calm for captions. One visual proposition only."
SAT-GEN019,SAT-B031,00:05:07.380,00:05:20.160,12.78,AI_RECONSTRUCTION,OWNERSHIP_SPLIT,R03,BLOCKED_UNTIL_REAL_MEDIA_IDS_ATTACHED,70% / 30% / 4 IOUs,gpt_image_2,low,1k,16:9,0.5,REWRITTEN_NOT_AUTHORIZED,NOT_TESTED,NOT_TESTED,"VISUAL PROPOSITION: One clean tabletop divided 70/30 by physical folder stacks, public-utility side larger and four investor-owned utility chairs on the smaller side; blank overlay space above. ERA/STATE: agreement-era. Respect the exact stated era and state (agreement-era); do not import construction activity, clothing, vehicles or technology from another period. Historically grounded 16:9 documentary reconstruction with restrained natural light and realistic materials. The Satsop projects never operated: no fuel, nuclear glow, operating steam, radioactive spectacle or completed plant presented as fact. Do not render titles, dates, numbers, logos, maps, signs, document text, arrows or labels; exact information is added later as editorial vector graphics. Keep the lower 15 percent calm for captions. One visual proposition only."
SAT-GEN020,SAT-B032,00:05:20.160,00:05:29.680,9.52,AI_RECONSTRUCTION_GFX,TECHNICAL_GFX_BASE,R02+R04,BLOCKED_UNTIL_REAL_MEDIA_IDS_ATTACHED,"PWR / 1,240 MW EACH",gpt_image_2,low,1k,16:9,0.5,REWRITTEN_NOT_AUTHORIZED,FAIL,CONDITIONAL,"VISUAL PROPOSITION: Two simplified cutaway silhouettes of pressurized-water project systems derived from authenticated technical references, side by side on neutral blueprint-gray; no photoreal domes, labels, pipes to nowhere or operating effects. ERA/STATE: design comparison. Respect the exact stated era and state (design comparison); do not import construction activity, clothing, vehicles or technology from another period. Historically grounded 16:9 documentary reconstruction with restrained natural light and realistic materials. The Satsop projects never operated: no fuel, nuclear glow, operating steam, radioactive spectacle or completed plant presented as fact. Do not render titles, dates, numbers, logos, maps, signs, document text, arrows or labels; exact information is added later as editorial vector graphics. Keep the lower 15 percent calm for captions. One visual proposition only."
SAT-GEN021,SAT-B035,00:05:56.641,00:06:02.971,6.33,AI_RECONSTRUCTION,COMPONENT_SCALE,R01+R02+R04,BLOCKED_UNTIL_REAL_MEDIA_IDS_ATTACHED,tower = heat rejection only,gpt_image_2,low,1k,16:9,0.5,REWRITTEN_NOT_AUTHORIZED,NOT_TESTED,NOT_TESTED,"VISUAL PROPOSITION: Low-angle exterior where the cooling tower occupies one edge while reactor, turbine and auxiliary building shells recede separately across the site, making the tower only one component. ERA/STATE: construction-era. Respect the exact stated era and state (construction-era); do not import construction activity, clothing, vehicles or technology from another period. Historically grounded 16:9 documentary reconstruction with restrained natural light and realistic materials. The Satsop projects never operated: no fuel, nuclear glow, operating steam, radioactive spectacle or completed plant presented as fact. Do not render titles, dates, numbers, logos, maps, signs, document text, arrows or labels; exact information is added later as editorial vector graphics. Keep the lower 15 percent calm for captions. One visual proposition only."
SAT-GEN022,SAT-B036,00:06:02.971,00:06:15.631,12.66,AI_RECONSTRUCTION_GFX,TECHNICAL_GFX_BASE,R04,BLOCKED_UNTIL_REAL_MEDIA_IDS_ATTACHED,HEAT → STEAM → TURBINE → COOLING,gpt_image_2,low,1k,16:9,0.5,REWRITTEN_NOT_AUTHORIZED,NOT_TESTED,CONDITIONAL,"VISUAL PROPOSITION: Clean horizontal four-stage engineering plate: reactor vessel silhouette, steam line, turbine-generator, cooling loop; unfinished broken link at Satsop, no labels or arrows rendered by the model. ERA/STATE: intended system. Respect the exact stated era and state (intended system); do not import construction activity, clothing, vehicles or technology from another period. Historically grounded 16:9 documentary reconstruction with restrained natural light and realistic materials. The Satsop projects never operated: no fuel, nuclear glow, operating steam, radioactive spectacle or completed plant presented as fact. Do not render titles, dates, numbers, logos, maps, signs, document text, arrows or labels; exact information is added later as editorial vector graphics. Keep the lower 15 percent calm for captions. One visual proposition only."
SAT-GEN023,SAT-B037,00:06:15.631,00:06:24.961,9.33,AI_RECONSTRUCTION_MAP,MAP_BASE,R02+R04,BLOCKED_UNTIL_REAL_MEDIA_IDS_ATTACHED,CHAIN NEVER COMPLETED / P5 FIRST,gpt_image_2,low,1k,16:9,0.5,REWRITTEN_NOT_AUTHORIZED,NOT_TESTED,NOT_TESTED,"VISUAL PROPOSITION: Plan-matched Satsop systems plate with the intended generation chain stopping before completion and Project Five highlighted as the first financial stop; generated layer contains no labels. ERA/STATE: 1982-1983. Respect the exact stated era and state (1982-1983); do not import construction activity, clothing, vehicles or technology from another period. Historically grounded 16:9 documentary reconstruction with restrained natural light and realistic materials. The Satsop projects never operated: no fuel, nuclear glow, operating steam, radioactive spectacle or completed plant presented as fact. Do not render titles, dates, numbers, logos, maps, signs, document text, arrows or labels; exact information is added later as editorial vector graphics. Keep the lower 15 percent calm for captions. One visual proposition only."
SAT-GEN024,SAT-B038,00:06:24.961,00:06:36.411,11.45,AI_RECONSTRUCTION,PRESERVATION,R01+R03,BLOCKED_UNTIL_REAL_MEDIA_IDS_ATTACHED,SUSPENDED ≠ TERMINATED,gpt_image_2,low,1k,16:9,0.5,REWRITTEN_NOT_AUTHORIZED,NOT_TESTED,NOT_TESTED,"VISUAL PROPOSITION: Project Three immediately after suspension: locked work zone, idle crane booms lowered, weather covers being installed and a two-person inspection team; no pouring concrete or active build. ERA/STATE: July 1983. Respect the exact stated era and state (July 1983); do not import construction activity, clothing, vehicles or technology from another period. Historically grounded 16:9 documentary reconstruction with restrained natural light and realistic materials. The Satsop projects never operated: no fuel, nuclear glow, operating steam, radioactive spectacle or completed plant presented as fact. Do not render titles, dates, numbers, logos, maps, signs, document text, arrows or labels; exact information is added later as editorial vector graphics. Keep the lower 15 percent calm for captions. One visual proposition only."
SAT-GEN025,SAT-B039,00:06:36.411,00:06:48.221,11.81,AI_RECONSTRUCTION,PRESERVATION,R01+R03+R04,LOCKED_PASS_REUSE,preserve optionality,gpt_image_2,low,1k,16:9,0.0,LOCKED_PASS_REUSE,FAIL,PASS,"VISUAL PROPOSITION: Protected stored equipment inside an unfinished turbine space, tagged but unreadable crates, desiccation covers and a small inspection crew; no active construction. ERA/STATE: 1983-1994. Respect the exact stated era and state (1983-1994); do not import construction activity, clothing, vehicles or technology from another period. Historically grounded 16:9 documentary reconstruction with restrained natural light and realistic materials. The Satsop projects never operated: no fuel, nuclear glow, operating steam, radioactive spectacle or completed plant presented as fact. Do not render titles, dates, numbers, logos, maps, signs, document text, arrows or labels; exact information is added later as editorial vector graphics. Keep the lower 15 percent calm for captions. One visual proposition only."
SAT-GEN026,SAT-B040,00:06:48.221,00:06:56.801,8.58,AI_RECONSTRUCTION,OPTION_COST,R01+R03,BLOCKED_UNTIL_REAL_MEDIA_IDS_ATTACHED,OPTION ALIVE / COST CONTINUES,gpt_image_2,low,1k,16:9,0.5,REWRITTEN_NOT_AUTHORIZED,NOT_TESTED,NOT_TESTED,"VISUAL PROPOSITION: A preserved machine under a clean protective cover in a vast unfinished hall while a maintenance crew works under one pool of light; show time being purchased, not construction progress. ERA/STATE: preservation era. Respect the exact stated era and state (preservation era); do not import construction activity, clothing, vehicles or technology from another period. Historically grounded 16:9 documentary reconstruction with restrained natural light and realistic materials. The Satsop projects never operated: no fuel, nuclear glow, operating steam, radioactive spectacle or completed plant presented as fact. Do not render titles, dates, numbers, logos, maps, signs, document text, arrows or labels; exact information is added later as editorial vector graphics. Keep the lower 15 percent calm for captions. One visual proposition only."
SAT-GEN027,SAT-B042,00:07:07.941,00:07:16.081,8.14,AI_RECONSTRUCTION_MAP,REGIONAL_GFX_BASE,R01+R05,BLOCKED_UNTIL_REAL_MEDIA_IDS_ATTACHED,demand changed / zero output,gpt_image_2,low,1k,16:9,0.5,REWRITTEN_NOT_AUTHORIZED,NOT_TESTED,NOT_TESTED,"VISUAL PROPOSITION: Pacific Northwest power-system landscape at low water with one silent preserved Satsop site at the edge; large clean sky and water areas reserved for demand-forecast overlay. ERA/STATE: late 1980s-early 1990s. Respect the exact stated era and state (late 1980s-early 1990s); do not import construction activity, clothing, vehicles or technology from another period. Historically grounded 16:9 documentary reconstruction with restrained natural light and realistic materials. The Satsop projects never operated: no fuel, nuclear glow, operating steam, radioactive spectacle or completed plant presented as fact. Do not render titles, dates, numbers, logos, maps, signs, document text, arrows or labels; exact information is added later as editorial vector graphics. Keep the lower 15 percent calm for captions. One visual proposition only."
SAT-GEN028,SAT-B043,00:07:16.081,00:07:30.786,14.705,AI_RECONSTRUCTION,PRESERVATION,R01+R03+R04,BLOCKED_UNTIL_REAL_MEDIA_IDS_ATTACHED,inspect / protect / evaluate,gpt_image_2,low,1k,16:9,0.5,REWRITTEN_NOT_AUTHORIZED,NOT_TESTED,NOT_TESTED,"VISUAL PROPOSITION: Close operational inspection of corrosion protection, sealed penetrations and stored equipment records inside an unfinished plant; three workers only, no cranes or fresh concrete. ERA/STATE: preservation era. Respect the exact stated era and state (preservation era); do not import construction activity, clothing, vehicles or technology from another period. Historically grounded 16:9 documentary reconstruction with restrained natural light and realistic materials. The Satsop projects never operated: no fuel, nuclear glow, operating steam, radioactive spectacle or completed plant presented as fact. Do not render titles, dates, numbers, logos, maps, signs, document text, arrows or labels; exact information is added later as editorial vector graphics. Keep the lower 15 percent calm for captions. One visual proposition only."
SAT-GEN029,SAT-B044,00:07:30.786,00:07:40.261,9.475,AI_RECONSTRUCTION,OPTION_COST,R01+R03,BLOCKED_UNTIL_REAL_MEDIA_IDS_ATTACHED,spend to keep option alive,gpt_image_2,low,1k,16:9,0.5,REWRITTEN_NOT_AUTHORIZED,NOT_TESTED,NOT_TESTED,"VISUAL PROPOSITION: Symmetrical corridor of preserved equipment with recurring inspection stations disappearing into depth, each station consuming labor while nothing produces power. ERA/STATE: preservation era. Respect the exact stated era and state (preservation era); do not import construction activity, clothing, vehicles or technology from another period. Historically grounded 16:9 documentary reconstruction with restrained natural light and realistic materials. The Satsop projects never operated: no fuel, nuclear glow, operating steam, radioactive spectacle or completed plant presented as fact. Do not render titles, dates, numbers, logos, maps, signs, document text, arrows or labels; exact information is added later as editorial vector graphics. Keep the lower 15 percent calm for captions. One visual proposition only."
SAT-GEN030,SAT-B046,00:07:54.011,00:08:04.071,10.06,AI_RECONSTRUCTION,CAPITAL_GFX_BASE,R01+R02,BLOCKED_UNTIL_REAL_MEDIA_IDS_ATTACHED,$2.6B / 1993 dollars,gpt_image_2,low,1k,16:9,0.5,REWRITTEN_NOT_AUTHORIZED,NOT_TESTED,NOT_TESTED,"VISUAL PROPOSITION: Reference-matched Project Three concrete mass isolated against a clean warm-paper field, with one empty lower-third scale lane for the verified invested-dollar overlay; no cash, coins or charts generated. ERA/STATE: 1993 valuation. Respect the exact stated era and state (1993 valuation); do not import construction activity, clothing, vehicles or technology from another period. Historically grounded 16:9 documentary reconstruction with restrained natural light and realistic materials. The Satsop projects never operated: no fuel, nuclear glow, operating steam, radioactive spectacle or completed plant presented as fact. Do not render titles, dates, numbers, logos, maps, signs, document text, arrows or labels; exact information is added later as editorial vector graphics. Keep the lower 15 percent calm for captions. One visual proposition only."
