beat,start,end,duration,section,shorts_relation,final_mode,asset_ids,source_ids,rights_status,stage8_note,narration
LP-B032,00:05:58.700,00:06:08.540,9.840,4,—,MAP,,LP-S03;LP-S06;LP-S07,CLEARED IF BUILT FROM USGS/USACE PD OR OSM CC-BY WITH ATTRIBUTION,Editor-native HIA map; do not copy secondary diagram geometry blindly,"Floating equipment, boats, trees and shoreline material moved with it. The opening at the surface expanded as the ground beneath it failed."
LP-B033,00:06:09.540,00:06:19.180,9.640,4,—,RECONSTRUCTION,LP-R07,LP-S01;LP-S11;LP-S12,NO THIRD-PARTY VISUAL REUSE; SOURCE-GROUNDED SYNTHETIC,LP-R07 — paid image generation candidate; source-grounded; no generation yet,Water was not simply draining from a stable bowl. The bowl was changing. The edge of the lake was collapsing into the process.
LP-B034,00:06:20.065,00:06:26.420,6.355,4,—,MAP,,LP-S03;LP-S06;LP-S07,CLEARED IF BUILT FROM USGS/USACE PD OR OSM CC-BY WITH ATTRIBUTION,Editor-native HIA map; do not copy secondary diagram geometry blindly,Post-disaster geological work put the permanent land loss at roughly sixty-eight acres.
LP-B035,00:06:27.520,00:06:39.280,11.760,4,—,RECONSTRUCTION,LP-R07,LP-S01;LP-S11;LP-S12,NO THIRD-PARTY VISUAL REUSE; SOURCE-GROUNDED SYNTHETIC,LP-R07 — paid image generation candidate; source-grounded; no generation yet,That number is easier to understand if you imagine the shoreline as part of the machinery of the accident. Every section of ground lost around the opening changed the shape of the basin.
LP-B036,00:06:40.200,00:06:49.740,9.540,4,—,MAP,,LP-S03;LP-S06;LP-S07,CLEARED IF BUILT FROM USGS/USACE PD OR OSM CC-BY WITH ATTRIBUTION,Editor-native HIA map; do not copy secondary diagram geometry blindly,Every change in shape gave the moving water a new path. What had begun as a drilling emergency was now reshaping Jefferson Island.
LP-B037,00:06:50.960,00:07:02.100,11.140,5,SHORT-01,GFX,,LP-S01;LP-S04,CLEARED: EDITOR-NATIVE; SOURCE DATA CITED,Editor-native HIA graphic / technical redraw; no fake historical document styling,A normal pipe stays roughly the same size while water passes through it. A failure through salt does not have to. Fresh water contacts the salt surface.
LP-B038,00:07:03.180,00:07:15.720,12.540,5,SHORT-01,GFX,,LP-S01;LP-S04,CLEARED: EDITOR-NATIVE; SOURCE DATA CITED,Editor-native HIA graphic / technical redraw; no fake historical document styling,"Salt dissolves into the flow. A narrow path can enlarge. Loss of salt can weaken the roof, pillars or surrounding ground. That creates more space for water."
LP-B039,00:07:16.460,00:07:28.040,11.580,5,SHORT-01,GFX,,LP-S01;LP-S04,CLEARED: EDITOR-NATIVE; SOURCE DATA CITED,Editor-native HIA graphic / technical redraw; no fake historical document styling,More water exposes more salt. And the cycle can accelerate. Flow. Dissolution. Enlargement and failure. More flow.
LP-B040,00:07:29.080,00:07:40.520,11.440,5,SHORT-01,GFX,,LP-S01;LP-S04,CLEARED: EDITOR-NATIVE; SOURCE DATA CITED,Editor-native HIA graphic / technical redraw; no fake historical document styling,The crucial idea is feedback. The failure was not merely carrying water through a fixed opening. The water could help enlarge the system that was carrying the water.
LP-B041,00:07:41.280,00:07:53.620,12.340,5,SHORT-01,GFX,,LP-S01;LP-S04,CLEARED: EDITOR-NATIVE; SOURCE DATA CITED,Editor-native HIA graphic / technical redraw; no fake historical document styling,"That is why the phrase ""one small hole drained the lake"" misses the engineering story. Whatever the initiating pathway looked like, it did not have to stay that size."
LP-B042,00:07:54.420,00:07:58.340,3.920,5,SHORT-01,GFX,,LP-S01;LP-S04,CLEARED: EDITOR-NATIVE; SOURCE DATA CITED,Editor-native HIA graphic / technical redraw; no fake historical document styling,The accident was modifying the system while the system was failing.
LP-B043,00:07:59.500,00:08:10.620,11.120,6,—,GFX,,LP-S01;LP-S04,CLEARED: EDITOR-NATIVE; SOURCE DATA CITED,Editor-native HIA graphic / technical redraw; no fake historical document styling,"Once enough water was moving underground, gravity supplied the energy. The lake itself became part of the failure mechanism. Water rushed toward the opening."
LP-B044,00:08:11.780,00:08:23.240,11.460,6,—,RECONSTRUCTION,LP-R08,LP-S01;LP-S04,NO THIRD-PARTY VISUAL REUSE; SOURCE-GROUNDED SYNTHETIC,LP-R08 — paid image generation candidate; source-grounded; no generation yet,Ground continued to collapse. The receiving space was not a concrete reservoir with fixed walls. It was a mine carved through a soluble salt structure.
LP-B045,00:08:23.840,00:08:33.680,9.840,6,—,MAP,,LP-S03;LP-S06;LP-S07,CLEARED IF BUILT FROM USGS/USACE PD OR OSM CC-BY WITH ATTRIBUTION,Editor-native HIA map; do not copy secondary diagram geometry blindly,"The famous whirlpool was only the surface expression. Below it, water was entering an industrial void built across multiple levels."
LP-B046,00:08:34.460,00:08:41.420,6.960,6,—,GFX,,LP-S01;LP-S04,CLEARED: EDITOR-NATIVE; SOURCE DATA CITED,Editor-native HIA graphic / technical redraw; no fake historical document styling,"Above it, the lake was losing both water and shoreline. Those two systems were now coupled."
LP-B047,00:08:42.100,00:08:48.380,6.280,6,—,RECONSTRUCTION,LP-R08,LP-S01;LP-S04,NO THIRD-PARTY VISUAL REUSE; SOURCE-GROUNDED SYNTHETIC,LP-R08 — paid image generation candidate; source-grounded; no generation yet,"The faster the lake fed the failure, the more the failure could change the route available to the lake."
LP-B048,00:08:49.000,00:09:01.940,12.940,6,—,MAP,,LP-S03;LP-S06;LP-S07,CLEARED IF BUILT FROM USGS/USACE PD OR OSM CC-BY WITH ATTRIBUTION,Editor-native HIA map; do not copy secondary diagram geometry blindly,"The relationship between water, mine, rock and air was being rewritten in real time. And as the lake level dropped, the consequences reached beyond Jefferson Island."
LP-B049,00:09:02.480,00:09:05.800,3.320,6,—,GFX,,LP-S01;LP-S04,CLEARED: EDITOR-NATIVE; SOURCE DATA CITED,Editor-native HIA graphic / technical redraw; no fake historical document styling,They changed the direction of another body of water.
LP-B050,00:09:06.600,00:09:17.480,10.880,7,SHORT-03,MAP,,LP-S06;LP-S07;LP-S10,CLEARED IF BUILT FROM USGS/USACE PD OR OSM CC-BY WITH ATTRIBUTION,Editor-native HIA map; do not copy secondary diagram geometry blindly,"Lake Peigneur connected southward through the Delcambre Canal toward Vermilion Bay. Under normal conditions, that connection carried water away from the lake."
LP-B051,00:09:18.200,00:09:28.860,10.660,7,SHORT-03,MAP,,LP-S06;LP-S07;LP-S10,CLEARED IF BUILT FROM USGS/USACE PD OR OSM CC-BY WITH ATTRIBUTION,Editor-native HIA map; do not copy secondary diagram geometry blindly,Now the lake had fallen so far that the hydraulic relationship reversed. The lake became the lower destination. The canal began feeding it.
LP-B052,00:09:28.860,00:09:42.880,14.020,7,SHORT-03,RECONSTRUCTION,LP-R09,LP-S01;LP-S10;LP-S11,NO THIRD-PARTY VISUAL REUSE; SOURCE-GROUNDED SYNTHETIC,LP-R09 — paid image generation candidate; source-grounded; no generation yet,Water from the Gulf side moved inland toward the emptied basin. Historical Louisiana accounts describe what happened next as a temporary waterfall roughly one hundred and fifty feet high.
LP-B053,00:09:43.780,00:09:53.360,9.580,7,SHORT-03,MAP,,LP-S06;LP-S07;LP-S10,CLEARED IF BUILT FROM USGS/USACE PD OR OSM CC-BY WITH ATTRIBUTION,Editor-native HIA map; do not copy secondary diagram geometry blindly,"For a place as flat as coastal Louisiana, the image is almost absurd. A canal flowing the wrong way. Salt water moving inland."
LP-B054,00:09:54.080,00:10:06.680,12.600,7,SHORT-03,MAP,,LP-S06;LP-S07;LP-S10,CLEARED IF BUILT FROM USGS/USACE PD OR OSM CC-BY WITH ATTRIBUTION,Editor-native HIA map; do not copy secondary diagram geometry blindly,A temporary waterfall appearing where there had been no cliff. But the water was still obeying gravity. The landscape had changed underneath it. The canal had not moved on the map.
LP-B055,00:10:07.480,00:10:11.020,3.540,7,SHORT-03,MAP,,LP-S06;LP-S07;LP-S10,CLEARED IF BUILT FROM USGS/USACE PD OR OSM CC-BY WITH ATTRIBUTION,Editor-native HIA map; do not copy secondary diagram geometry blindly,The lake had changed its elevation enough to reverse the system.
LP-B056,00:10:11.820,00:10:20.340,8.520,8,—,REAL_CONTEXT,,LP-S03,CLEARED: USGS PUBLIC DOMAIN,Use USGS Landsat/current geographic context; current context must not be presented as 1980 archive,"When the major physical sequence ended, the mine was inundated. The drilling platform was gone. The shoreline had been cut back."
LP-B057,00:10:21.040,00:10:31.060,10.020,8,—,GFX,,LP-S01;LP-S02,CLEARED: EDITOR-NATIVE; SOURCE DATA CITED,Editor-native HIA graphic / technical redraw; no fake historical document styling,The lake had been transformed from the shallow basin that existed before the accident into a much deeper one. The industrial system beneath it was finished.
LP-B058,00:10:31.780,00:10:42.640,10.860,8,—,REAL_CONTEXT,,LP-S03,CLEARED: USGS PUBLIC DOMAIN,Use USGS Landsat/current geographic context; current context must not be presented as 1980 archive,But the most important number is not the final depth. It is zero. No human deaths. All fifty-two people recorded underground escaped.
LP-B059,00:10:43.400,00:10:51.220,7.820,8,—,RECONSTRUCTION,LP-R05,LP-S01;LP-S02;LP-S11,NO THIRD-PARTY VISUAL REUSE; SOURCE-GROUNDED SYNTHETIC,LP-R05 — paid image generation candidate; source-grounded; no generation yet,The seven drilling workers above them got clear. That does not make the event small. It makes the evacuation extraordinary.
LP-B060,00:10:51.940,00:11:01.500,9.560,8,—,DOCUMENT,,LP-S01;LP-S02,CLEARED FOR FEDERAL/JUDICIAL TEXT OR EDITOR-NATIVE RE-TYPE; NO UPI/ONEOK SCREENSHOT REUSE,Use primary federal report/document page or HIA paper treatment of primary-source excerpt,"An accident violent enough to erase part of a shoreline, destroy a working mine and reverse a canal ended without a human fatality."
LP-B061,00:11:02.360,00:11:13.600,11.240,9,SHORT-04,DOCUMENT,,LP-S01;LP-S14;LP-S19,CLEARED FOR FEDERAL/JUDICIAL TEXT OR EDITOR-NATIVE RE-TYPE; NO UPI/ONEOK SCREENSHOT REUSE,Use MSHA report / Appendix T evidence; keep uncertainty visible,"By now, the natural question seems obvious. Who put the drill in the wrong place? That is where the popular version of Lake Peigneur often becomes cleaner than the evidence."
LP-B062,00:11:14.440,00:11:26.040,11.600,9,SHORT-04,DOCUMENT,,LP-S01;LP-S14;LP-S19,CLEARED FOR FEDERAL/JUDICIAL TEXT OR EDITOR-NATIVE RE-TYPE; NO UPI/ONEOK SCREENSHOT REUSE,Use MSHA report / Appendix T evidence; keep uncertainty visible,A widely repeated story says a coordinate or surveying error sent the well into the mine. The official federal investigation did not close the case that neatly.
LP-B063,00:11:26.900,00:11:36.280,9.380,9,SHORT-04,DOCUMENT,,LP-S01;LP-S14;LP-S19,CLEARED FOR FEDERAL/JUDICIAL TEXT OR EDITOR-NATIVE RE-TYPE; NO UPI/ONEOK SCREENSHOT REUSE,Use MSHA report / Appendix T evidence; keep uncertainty visible,"After the inundation, the relevant mine workings could not simply be entered and inspected. The accident had destroyed access to the best evidence."
LP-B064,00:11:37.180,00:11:50.220,13.040,9,SHORT-04,MAP,,LP-S01;LP-S19,CLEARED IF BUILT FROM USGS/USACE PD OR OSM CC-BY WITH ATTRIBUTION,Editor-native HIA map; do not copy secondary diagram geometry blindly,"Critical physical information was underwater, displaced or gone. Federal mine-safety investigators reconstructed an estimated drill-hole location near the mine's thirteen-hundred-foot level."
LP-B065,00:11:50.780,00:12:00.900,10.120,9,SHORT-04,DOCUMENT,,LP-S01;LP-S14;LP-S19,CLEARED FOR FEDERAL/JUDICIAL TEXT OR EDITOR-NATIVE RE-TYPE; NO UPI/ONEOK SCREENSHOT REUSE,Use MSHA report / Appendix T evidence; keep uncertainty visible,Diamond Crystal argued that the drilling operation had penetrated the roof of an excavated mine room. Other experts disputed that reconstruction.
LP-B066,00:12:01.960,00:12:13.360,11.400,9,SHORT-04,DOCUMENT,,LP-S01;LP-S14;LP-S19,CLEARED FOR FEDERAL/JUDICIAL TEXT OR EDITOR-NATIVE RE-TYPE; NO UPI/ONEOK SCREENSHOT REUSE,Use MSHA report / Appendix T evidence; keep uncertainty visible,"More than two years later, during the settlement process, experts were still disagreeing over whether the well had entered the mined room in the way Diamond Crystal alleged. That distinction matters."
LP-B067,00:12:14.220,00:12:25.900,11.680,9,SHORT-04,DOCUMENT,,LP-S01;LP-S14;LP-S19,CLEARED FOR FEDERAL/JUDICIAL TEXT OR EDITOR-NATIVE RE-TYPE; NO UPI/ONEOK SCREENSHOT REUSE,Use MSHA report / Appendix T evidence; keep uncertainty visible,Investigators could document the drilling operation. They could document the mine. They could document the inundation. They could estimate where the well may have intersected the underground system.
LP-B068,00:12:26.800,00:12:38.720,11.920,9,SHORT-04,MAP,,LP-S01;LP-S19,CLEARED IF BUILT FROM USGS/USACE PD OR OSM CC-BY WITH ATTRIBUTION,Editor-native HIA map; do not copy secondary diagram geometry blindly,But the disaster had made the decisive physical scene inaccessible. So two statements can both be true. The drilling operation and mine became hydraulically connected.
LP-B069,00:12:39.420,00:12:49.880,10.460,9,SHORT-04,DOCUMENT,,LP-S01;LP-S14;LP-S19,CLEARED FOR FEDERAL/JUDICIAL TEXT OR EDITOR-NATIVE RE-TYPE; NO UPI/ONEOK SCREENSHOT REUSE,Use MSHA report / Appendix T evidence; keep uncertainty visible,And the precise initiating technical error could not later be established with certainty. That is not a weakness in the story. It is the reason evidence matters.
LP-B070,00:12:51.080,00:12:58.955,7.875,10,—,DOCUMENT,,LP-S14;LP-S15,CLEARED FOR FEDERAL/JUDICIAL TEXT OR EDITOR-NATIVE RE-TYPE; NO UPI/ONEOK SCREENSHOT REUSE,Re-typeset only the sourced fact/quote fragment; UPI screenshots are reference-only,The uncertainty did not prevent lawsuits. Diamond Crystal originally sued Texaco for two hundred and sixty million dollars.
LP-B071,00:12:59.200,00:13:06.880,7.680,10,—,DOCUMENT,,LP-S14;LP-S15,CLEARED FOR FEDERAL/JUDICIAL TEXT OR EDITOR-NATIVE RE-TYPE; NO UPI/ONEOK SCREENSHOT REUSE,Re-typeset only the sourced fact/quote fragment; UPI screenshots are reference-only,"In 1983, Diamond Crystal accepted a thirty-two-million-dollar settlement from Texaco and Wilson Brothers."
LP-B072,00:13:07.980,00:13:20.360,12.380,10,—,DOCUMENT,,LP-S14;LP-S15,CLEARED FOR FEDERAL/JUDICIAL TEXT OR EDITOR-NATIVE RE-TYPE; NO UPI/ONEOK SCREENSHOT REUSE,Re-typeset only the sourced fact/quote fragment; UPI screenshots are reference-only,Live Oak Gardens interests received twelve-point-eight million dollars in a separate settlement involving the companies. Those numbers resolved claims. They did not restore the underground system.
LP-B073,00:13:21.040,00:13:29.680,8.640,10,—,DOCUMENT,,LP-S14;LP-S15,CLEARED FOR FEDERAL/JUDICIAL TEXT OR EDITOR-NATIVE RE-TYPE; NO UPI/ONEOK SCREENSHOT REUSE,Re-typeset only the sourced fact/quote fragment; UPI screenshots are reference-only,They did not reopen the mine. And they did not turn the settlement into a scientific finding about one exact cause.
LP-B074,00:13:31.020,00:13:43.440,12.420,10,—,DOCUMENT,,LP-S15,CLEARED FOR FEDERAL/JUDICIAL TEXT OR EDITOR-NATIVE RE-TYPE; NO UPI/ONEOK SCREENSHOT REUSE,Re-typeset only the sourced fact/quote fragment; UPI screenshots are reference-only,Louisiana appellate records later described approximately two hundred and fifty Diamond Crystal employees being laid off after the closure. That is the quieter scale of the disaster.
LP-B075,00:13:44.200,00:13:51.140,6.940,10,—,DOCUMENT,,LP-S14;LP-S15,CLEARED FOR FEDERAL/JUDICIAL TEXT OR EDITOR-NATIVE RE-TYPE; NO UPI/ONEOK SCREENSHOT REUSE,Re-typeset only the sourced fact/quote fragment; UPI screenshots are reference-only,"The famous sequence — the whirlpool, the collapsing bank, the reversed canal — lasted hours."
LP-B076,00:13:52.100,00:13:58.740,6.640,10,—,DOCUMENT,,LP-S15,CLEARED FOR FEDERAL/JUDICIAL TEXT OR EDITOR-NATIVE RE-TYPE; NO UPI/ONEOK SCREENSHOT REUSE,Re-typeset only the sourced fact/quote fragment; UPI screenshots are reference-only,"For the people whose livelihoods depended on the mine, the consequences continued after the water stopped moving."
LP-B077,00:13:59.640,00:14:12.060,12.420,11,SHORT-05,REAL_CONTEXT,,LP-S03,CLEARED: USGS PUBLIC DOMAIN,Use USGS Landsat/current geographic context; current context must not be presented as 1980 archive,The disaster ended this salt mine. It did not make the salt dome worthless. Salt formations are also useful for storing pressurized natural gas inside engineered caverns.
