"ASSET_ID","TYPE","BEATS","PROMPT","SOURCE_FILES","NUMBERS_TO_RENDER","EDITOR_NOTES"
"LP-GFX-012","GENERATED_GFX","LP-B016","16:9 1920x1080 Hidden Industrial America editorial documentary frame; charcoal #171A1C, iron #30363A, warm paper #E6DDC8, ivory #F3EBDD, faded rust #A55235, blueprint gray-blue #5F747D; clean cinematic composition; lower 15% kept visually quiet for captions; no black caption box; no neon; no horror; no flag/eagle/gear iconography; no fake archival damage; no fake date stamp; no invented newspaper; no logos unless source-grounded; no text except explicitly requested numbers. Create a precise editorial infographic/technical illustration for: drill depth versus 1300-foot mine level. Use restrained blueprint-like geometry and physical spatial clarity; visually understandable without dense labels. Render only the numbers listed in NUMBERS_TO_RENDER when present; all other labels added by editor.","LP-S01;LP-S19","1228 ft;1300 ft","Generate as finished visual base; typography beyond listed numbers remains editor-native; preserve factual uncertainty; do not imitate a historical document."
"LP-GFX-013","GENERATED_GFX","LP-B017","16:9 1920x1080 Hidden Industrial America editorial documentary frame; charcoal #171A1C, iron #30363A, warm paper #E6DDC8, ivory #F3EBDD, faded rust #A55235, blueprint gray-blue #5F747D; clean cinematic composition; lower 15% kept visually quiet for captions; no black caption box; no neon; no horror; no flag/eagle/gear iconography; no fake archival damage; no fake date stamp; no invented newspaper; no logos unless source-grounded; no text except explicitly requested numbers. Create a precise editorial infographic/technical illustration for: water ingress route conceptual section. Use restrained blueprint-like geometry and physical spatial clarity; visually understandable without dense labels. Render only the numbers listed in NUMBERS_TO_RENDER when present; all other labels added by editor.","LP-S01","","Generate as finished visual base; typography beyond listed numbers remains editor-native; preserve factual uncertainty; do not imitate a historical document."
"LP-GFX-014","GENERATED_GFX","LP-B019","16:9 1920x1080 Hidden Industrial America editorial documentary frame; charcoal #171A1C, iron #30363A, warm paper #E6DDC8, ivory #F3EBDD, faded rust #A55235, blueprint gray-blue #5F747D; clean cinematic composition; lower 15% kept visually quiet for captions; no black caption box; no neon; no horror; no flag/eagle/gear iconography; no fake archival damage; no fake date stamp; no invented newspaper; no logos unless source-grounded; no text except explicitly requested numbers. Create a precise editorial infographic/technical illustration for: emergency clock / time pressure. Use restrained blueprint-like geometry and physical spatial clarity; visually understandable without dense labels. Render only the numbers listed in NUMBERS_TO_RENDER when present; all other labels added by editor.","LP-S01;LP-S02","<1 hour","Generate as finished visual base; typography beyond listed numbers remains editor-native; preserve factual uncertainty; do not imitate a historical document."
"LP-GFX-015","GENERATED_GFX","LP-B020","16:9 1920x1080 Hidden Industrial America editorial documentary frame; charcoal #171A1C, iron #30363A, warm paper #E6DDC8, ivory #F3EBDD, faded rust #A55235, blueprint gray-blue #5F747D; clean cinematic composition; lower 15% kept visually quiet for captions; no black caption box; no neon; no horror; no flag/eagle/gear iconography; no fake archival damage; no fake date stamp; no invented newspaper; no logos unless source-grounded; no text except explicitly requested numbers. Create a precise editorial infographic/technical illustration for: unknown connection geometry with uncertainty zone. Use restrained blueprint-like geometry and physical spatial clarity; visually understandable without dense labels. Render only the numbers listed in NUMBERS_TO_RENDER when present; all other labels added by editor.","LP-S01;LP-S19","","Generate as finished visual base; typography beyond listed numbers remains editor-native; preserve factual uncertainty; do not imitate a historical document."
"LP-GFX-016","GENERATED_GFX","LP-B021","16:9 1920x1080 Hidden Industrial America editorial documentary frame; charcoal #171A1C, iron #30363A, warm paper #E6DDC8, ivory #F3EBDD, faded rust #A55235, blueprint gray-blue #5F747D; clean cinematic composition; lower 15% kept visually quiet for captions; no black caption box; no neon; no horror; no flag/eagle/gear iconography; no fake archival damage; no fake date stamp; no invented newspaper; no logos unless source-grounded; no text except explicitly requested numbers. Create a precise editorial infographic/technical illustration for: 52 workers distributed underground. Use restrained blueprint-like geometry and physical spatial clarity; visually understandable without dense labels. Render only the numbers listed in NUMBERS_TO_RENDER when present; all other labels added by editor.","LP-S01;LP-S02","52","Generate as finished visual base; typography beyond listed numbers remains editor-native; preserve factual uncertainty; do not imitate a historical document."
"LP-GFX-017","GENERATED_GFX","LP-B022","16:9 1920x1080 Hidden Industrial America editorial documentary frame; charcoal #171A1C, iron #30363A, warm paper #E6DDC8, ivory #F3EBDD, faded rust #A55235, blueprint gray-blue #5F747D; clean cinematic composition; lower 15% kept visually quiet for captions; no black caption box; no neon; no horror; no flag/eagle/gear iconography; no fake archival damage; no fake date stamp; no invented newspaper; no logos unless source-grounded; no text except explicitly requested numbers. Create a precise editorial infographic/technical illustration for: multi-level mine network occupancy. Use restrained blueprint-like geometry and physical spatial clarity; visually understandable without dense labels. Render only the numbers listed in NUMBERS_TO_RENDER when present; all other labels added by editor.","LP-S01","","Generate as finished visual base; typography beyond listed numbers remains editor-native; preserve factual uncertainty; do not imitate a historical document."
"LP-GFX-018","GENERATED_GFX","LP-B025","16:9 1920x1080 Hidden Industrial America editorial documentary frame; charcoal #171A1C, iron #30363A, warm paper #E6DDC8, ivory #F3EBDD, faded rust #A55235, blueprint gray-blue #5F747D; clean cinematic composition; lower 15% kept visually quiet for captions; no black caption box; no neon; no horror; no flag/eagle/gear iconography; no fake archival damage; no fake date stamp; no invented newspaper; no logos unless source-grounded; no text except explicitly requested numbers. Create a precise editorial infographic/technical illustration for: evacuation search/accountability flow. Use restrained blueprint-like geometry and physical spatial clarity; visually understandable without dense labels. Render only the numbers listed in NUMBERS_TO_RENDER when present; all other labels added by editor.","LP-S01;LP-S02","","Generate as finished visual base; typography beyond listed numbers remains editor-native; preserve factual uncertainty; do not imitate a historical document."
"LP-GFX-019","GENERATED_GFX","LP-B027","16:9 1920x1080 Hidden Industrial America editorial documentary frame; charcoal #171A1C, iron #30363A, warm paper #E6DDC8, ivory #F3EBDD, faded rust #A55235, blueprint gray-blue #5F747D; clean cinematic composition; lower 15% kept visually quiet for captions; no black caption box; no neon; no horror; no flag/eagle/gear iconography; no fake archival damage; no fake date stamp; no invented newspaper; no logos unless source-grounded; no text except explicitly requested numbers. Create a precise editorial infographic/technical illustration for: evacuation timeline. Use restrained blueprint-like geometry and physical spatial clarity; visually understandable without dense labels. Render only the numbers listed in NUMBERS_TO_RENDER when present; all other labels added by editor.","LP-S01;LP-S02","52;<1 hour","Generate as finished visual base; typography beyond listed numbers remains editor-native; preserve factual uncertainty; do not imitate a historical document."
"LP-GFX-020","GENERATED_GFX","LP-B034","16:9 1920x1080 Hidden Industrial America editorial documentary frame; charcoal #171A1C, iron #30363A, warm paper #E6DDC8, ivory #F3EBDD, faded rust #A55235, blueprint gray-blue #5F747D; clean cinematic composition; lower 15% kept visually quiet for captions; no black caption box; no neon; no horror; no flag/eagle/gear iconography; no fake archival damage; no fake date stamp; no invented newspaper; no logos unless source-grounded; no text except explicitly requested numbers. Create a precise editorial infographic/technical illustration for: permanent land loss scale. Use restrained blueprint-like geometry and physical spatial clarity; visually understandable without dense labels. Render only the numbers listed in NUMBERS_TO_RENDER when present; all other labels added by editor.","LP-S09","~68 acres","Generate as finished visual base; typography beyond listed numbers remains editor-native; preserve factual uncertainty; do not imitate a historical document."
"LP-GFX-021","GENERATED_GFX","LP-B037","16:9 1920x1080 Hidden Industrial America editorial documentary frame; charcoal #171A1C, iron #30363A, warm paper #E6DDC8, ivory #F3EBDD, faded rust #A55235, blueprint gray-blue #5F747D; clean cinematic composition; lower 15% kept visually quiet for captions; no black caption box; no neon; no horror; no flag/eagle/gear iconography; no fake archival damage; no fake date stamp; no invented newspaper; no logos unless source-grounded; no text except explicitly requested numbers. Create a precise editorial infographic/technical illustration for: fixed pipe versus dissolving salt pathway. Use restrained blueprint-like geometry and physical spatial clarity; visually understandable without dense labels. Render only the numbers listed in NUMBERS_TO_RENDER when present; all other labels added by editor.","LP-S01;LP-S04","","Generate as finished visual base; typography beyond listed numbers remains editor-native; preserve factual uncertainty; do not imitate a historical document."
"LP-GFX-022","GENERATED_GFX","LP-B038","16:9 1920x1080 Hidden Industrial America editorial documentary frame; charcoal #171A1C, iron #30363A, warm paper #E6DDC8, ivory #F3EBDD, faded rust #A55235, blueprint gray-blue #5F747D; clean cinematic composition; lower 15% kept visually quiet for captions; no black caption box; no neon; no horror; no flag/eagle/gear iconography; no fake archival damage; no fake date stamp; no invented newspaper; no logos unless source-grounded; no text except explicitly requested numbers. Create a precise editorial infographic/technical illustration for: salt dissolution enlargement sequence. Use restrained blueprint-like geometry and physical spatial clarity; visually understandable without dense labels. Render only the numbers listed in NUMBERS_TO_RENDER when present; all other labels added by editor.","LP-S01;LP-S04","","Generate as finished visual base; typography beyond listed numbers remains editor-native; preserve factual uncertainty; do not imitate a historical document."
"LP-GFX-023","GENERATED_GFX","LP-B038","16:9 1920x1080 Hidden Industrial America editorial documentary frame; charcoal #171A1C, iron #30363A, warm paper #E6DDC8, ivory #F3EBDD, faded rust #A55235, blueprint gray-blue #5F747D; clean cinematic composition; lower 15% kept visually quiet for captions; no black caption box; no neon; no horror; no flag/eagle/gear iconography; no fake archival damage; no fake date stamp; no invented newspaper; no logos unless source-grounded; no text except explicitly requested numbers. Create a precise editorial infographic/technical illustration for: roof/pillar weakening from dissolution. Use restrained blueprint-like geometry and physical spatial clarity; visually understandable without dense labels. Render only the numbers listed in NUMBERS_TO_RENDER when present; all other labels added by editor.","LP-S01;LP-S04","","Generate as finished visual base; typography beyond listed numbers remains editor-native; preserve factual uncertainty; do not imitate a historical document."
"LP-GFX-024","GENERATED_GFX","LP-B039","16:9 1920x1080 Hidden Industrial America editorial documentary frame; charcoal #171A1C, iron #30363A, warm paper #E6DDC8, ivory #F3EBDD, faded rust #A55235, blueprint gray-blue #5F747D; clean cinematic composition; lower 15% kept visually quiet for captions; no black caption box; no neon; no horror; no flag/eagle/gear iconography; no fake archival damage; no fake date stamp; no invented newspaper; no logos unless source-grounded; no text except explicitly requested numbers. Create a precise editorial infographic/technical illustration for: feedback loop flow-dissolution-enlargement. Use restrained blueprint-like geometry and physical spatial clarity; visually understandable without dense labels. Render only the numbers listed in NUMBERS_TO_RENDER when present; all other labels added by editor.","LP-S01;LP-S04","","Generate as finished visual base; typography beyond listed numbers remains editor-native; preserve factual uncertainty; do not imitate a historical document."
"LP-GFX-025","GENERATED_GFX","LP-B039","16:9 1920x1080 Hidden Industrial America editorial documentary frame; charcoal #171A1C, iron #30363A, warm paper #E6DDC8, ivory #F3EBDD, faded rust #A55235, blueprint gray-blue #5F747D; clean cinematic composition; lower 15% kept visually quiet for captions; no black caption box; no neon; no horror; no flag/eagle/gear iconography; no fake archival damage; no fake date stamp; no invented newspaper; no logos unless source-grounded; no text except explicitly requested numbers. Create a precise editorial infographic/technical illustration for: more water exposes more salt loop. Use restrained blueprint-like geometry and physical spatial clarity; visually understandable without dense labels. Render only the numbers listed in NUMBERS_TO_RENDER when present; all other labels added by editor.","LP-S01;LP-S04","","Generate as finished visual base; typography beyond listed numbers remains editor-native; preserve factual uncertainty; do not imitate a historical document."
"LP-GFX-026","GENERATED_GFX","LP-B040","16:9 1920x1080 Hidden Industrial America editorial documentary frame; charcoal #171A1C, iron #30363A, warm paper #E6DDC8, ivory #F3EBDD, faded rust #A55235, blueprint gray-blue #5F747D; clean cinematic composition; lower 15% kept visually quiet for captions; no black caption box; no neon; no horror; no flag/eagle/gear iconography; no fake archival damage; no fake date stamp; no invented newspaper; no logos unless source-grounded; no text except explicitly requested numbers. Create a precise editorial infographic/technical illustration for: positive feedback system diagram. Use restrained blueprint-like geometry and physical spatial clarity; visually understandable without dense labels. Render only the numbers listed in NUMBERS_TO_RENDER when present; all other labels added by editor.","LP-S01;LP-S04","","Generate as finished visual base; typography beyond listed numbers remains editor-native; preserve factual uncertainty; do not imitate a historical document."
"LP-GFX-027","GENERATED_GFX","LP-B041","16:9 1920x1080 Hidden Industrial America editorial documentary frame; charcoal #171A1C, iron #30363A, warm paper #E6DDC8, ivory #F3EBDD, faded rust #A55235, blueprint gray-blue #5F747D; clean cinematic composition; lower 15% kept visually quiet for captions; no black caption box; no neon; no horror; no flag/eagle/gear iconography; no fake archival damage; no fake date stamp; no invented newspaper; no logos unless source-grounded; no text except explicitly requested numbers. Create a precise editorial infographic/technical illustration for: small opening does not remain small. Use restrained blueprint-like geometry and physical spatial clarity; visually understandable without dense labels. Render only the numbers listed in NUMBERS_TO_RENDER when present; all other labels added by editor.","LP-S01;LP-S04","","Generate as finished visual base; typography beyond listed numbers remains editor-native; preserve factual uncertainty; do not imitate a historical document."
"LP-GFX-028","GENERATED_GFX","LP-B042","16:9 1920x1080 Hidden Industrial America editorial documentary frame; charcoal #171A1C, iron #30363A, warm paper #E6DDC8, ivory #F3EBDD, faded rust #A55235, blueprint gray-blue #5F747D; clean cinematic composition; lower 15% kept visually quiet for captions; no black caption box; no neon; no horror; no flag/eagle/gear iconography; no fake archival damage; no fake date stamp; no invented newspaper; no logos unless source-grounded; no text except explicitly requested numbers. Create a precise editorial infographic/technical illustration for: system changing while failing. Use restrained blueprint-like geometry and physical spatial clarity; visually understandable without dense labels. Render only the numbers listed in NUMBERS_TO_RENDER when present; all other labels added by editor.","LP-S01;LP-S04","","Generate as finished visual base; typography beyond listed numbers remains editor-native; preserve factual uncertainty; do not imitate a historical document."
"LP-GFX-029","GENERATED_GFX","LP-B043","16:9 1920x1080 Hidden Industrial America editorial documentary frame; charcoal #171A1C, iron #30363A, warm paper #E6DDC8, ivory #F3EBDD, faded rust #A55235, blueprint gray-blue #5F747D; clean cinematic composition; lower 15% kept visually quiet for captions; no black caption box; no neon; no horror; no flag/eagle/gear iconography; no fake archival damage; no fake date stamp; no invented newspaper; no logos unless source-grounded; no text except explicitly requested numbers. Create a precise editorial infographic/technical illustration for: gravity drives lake into underground void. Use restrained blueprint-like geometry and physical spatial clarity; visually understandable without dense labels. Render only the numbers listed in NUMBERS_TO_RENDER when present; all other labels added by editor.","LP-S01;LP-S04","","Generate as finished visual base; typography beyond listed numbers remains editor-native; preserve factual uncertainty; do not imitate a historical document."
"LP-GFX-030","GENERATED_GFX","LP-B045","16:9 1920x1080 Hidden Industrial America editorial documentary frame; charcoal #171A1C, iron #30363A, warm paper #E6DDC8, ivory #F3EBDD, faded rust #A55235, blueprint gray-blue #5F747D; clean cinematic composition; lower 15% kept visually quiet for captions; no black caption box; no neon; no horror; no flag/eagle/gear iconography; no fake archival damage; no fake date stamp; no invented newspaper; no logos unless source-grounded; no text except explicitly requested numbers. Create a precise editorial infographic/technical illustration for: surface whirlpool over multi-level industrial void. Use restrained blueprint-like geometry and physical spatial clarity; visually understandable without dense labels. Render only the numbers listed in NUMBERS_TO_RENDER when present; all other labels added by editor.","LP-S01;LP-S04","","Generate as finished visual base; typography beyond listed numbers remains editor-native; preserve factual uncertainty; do not imitate a historical document."
"LP-GFX-031","GENERATED_GFX","LP-B046","16:9 1920x1080 Hidden Industrial America editorial documentary frame; charcoal #171A1C, iron #30363A, warm paper #E6DDC8, ivory #F3EBDD, faded rust #A55235, blueprint gray-blue #5F747D; clean cinematic composition; lower 15% kept visually quiet for captions; no black caption box; no neon; no horror; no flag/eagle/gear iconography; no fake archival damage; no fake date stamp; no invented newspaper; no logos unless source-grounded; no text except explicitly requested numbers. Create a precise editorial infographic/technical illustration for: lake loss and shoreline loss coupled. Use restrained blueprint-like geometry and physical spatial clarity; visually understandable without dense labels. Render only the numbers listed in NUMBERS_TO_RENDER when present; all other labels added by editor.","LP-S01;LP-S04","","Generate as finished visual base; typography beyond listed numbers remains editor-native; preserve factual uncertainty; do not imitate a historical document."
"LP-GFX-032","GENERATED_GFX","LP-B047","16:9 1920x1080 Hidden Industrial America editorial documentary frame; charcoal #171A1C, iron #30363A, warm paper #E6DDC8, ivory #F3EBDD, faded rust #A55235, blueprint gray-blue #5F747D; clean cinematic composition; lower 15% kept visually quiet for captions; no black caption box; no neon; no horror; no flag/eagle/gear iconography; no fake archival damage; no fake date stamp; no invented newspaper; no logos unless source-grounded; no text except explicitly requested numbers. Create a precise editorial infographic/technical illustration for: flow rate versus pathway enlargement. Use restrained blueprint-like geometry and physical spatial clarity; visually understandable without dense labels. Render only the numbers listed in NUMBERS_TO_RENDER when present; all other labels added by editor.","LP-S01;LP-S04","","Generate as finished visual base; typography beyond listed numbers remains editor-native; preserve factual uncertainty; do not imitate a historical document."
"LP-GFX-033","GENERATED_GFX","LP-B048","16:9 1920x1080 Hidden Industrial America editorial documentary frame; charcoal #171A1C, iron #30363A, warm paper #E6DDC8, ivory #F3EBDD, faded rust #A55235, blueprint gray-blue #5F747D; clean cinematic composition; lower 15% kept visually quiet for captions; no black caption box; no neon; no horror; no flag/eagle/gear iconography; no fake archival damage; no fake date stamp; no invented newspaper; no logos unless source-grounded; no text except explicitly requested numbers. Create a precise editorial infographic/technical illustration for: water-mine-rock-air coupled system. Use restrained blueprint-like geometry and physical spatial clarity; visually understandable without dense labels. Render only the numbers listed in NUMBERS_TO_RENDER when present; all other labels added by editor.","LP-S01;LP-S04","","Generate as finished visual base; typography beyond listed numbers remains editor-native; preserve factual uncertainty; do not imitate a historical document."
"LP-GFX-034","GENERATED_GFX","LP-B049","16:9 1920x1080 Hidden Industrial America editorial documentary frame; charcoal #171A1C, iron #30363A, warm paper #E6DDC8, ivory #F3EBDD, faded rust #A55235, blueprint gray-blue #5F747D; clean cinematic composition; lower 15% kept visually quiet for captions; no black caption box; no neon; no horror; no flag/eagle/gear iconography; no fake archival damage; no fake date stamp; no invented newspaper; no logos unless source-grounded; no text except explicitly requested numbers. Create a precise editorial infographic/technical illustration for: hydraulic direction flip cue. Use restrained blueprint-like geometry and physical spatial clarity; visually understandable without dense labels. Render only the numbers listed in NUMBERS_TO_RENDER when present; all other labels added by editor.","LP-S01;LP-S10","","Generate as finished visual base; typography beyond listed numbers remains editor-native; preserve factual uncertainty; do not imitate a historical document."
"LP-GFX-035","GENERATED_GFX","LP-B050","16:9 1920x1080 Hidden Industrial America editorial documentary frame; charcoal #171A1C, iron #30363A, warm paper #E6DDC8, ivory #F3EBDD, faded rust #A55235, blueprint gray-blue #5F747D; clean cinematic composition; lower 15% kept visually quiet for captions; no black caption box; no neon; no horror; no flag/eagle/gear iconography; no fake archival damage; no fake date stamp; no invented newspaper; no logos unless source-grounded; no text except explicitly requested numbers. Create a precise editorial infographic/technical illustration for: Lake Peigneur to Delcambre Canal to Vermilion Bay map. Use restrained blueprint-like geometry and physical spatial clarity; visually understandable without dense labels. Render only the numbers listed in NUMBERS_TO_RENDER when present; all other labels added by editor.","LP-S06;LP-S07","","Generate as finished visual base; typography beyond listed numbers remains editor-native; preserve factual uncertainty; do not imitate a historical document."
